run_id,architecture,hidden_layers,learning_rate,weight_decay,seed,best_epoch,best_val_loss,best_val_peak_y_loss,best_val_max_abs_xr_loss,training_time_s
1,64-64,"[64, 64]",0.001,1e-05,42,496,0.011443177238106728,0.012770122848451138,0.010116233490407467,21.611669778823853
2,64-64,"[64, 64]",0.001,1e-05,123,216,0.009996342472732067,0.008608974516391754,0.011383711360394955,11.557454347610474
3,64-64,"[64, 64]",0.001,1e-05,2026,254,0.011378997936844826,0.010318320244550705,0.012439676560461521,13.615009546279907
4,64-64,"[64, 64]",0.001,0.0001,42,413,0.009760505519807339,0.008993608877062798,0.010527403093874454,19.810513973236084
5,64-64,"[64, 64]",0.001,0.0001,123,192,0.010031505487859249,0.00914202630519867,0.010920984670519829,11.730238676071167
6,64-64,"[64, 64]",0.001,0.0001,2026,724,0.00958438403904438,0.009128523990511894,0.01004024688154459,32.607919692993164
7,64-64,"[64, 64]",0.0005,1e-05,42,755,0.012627806514501572,0.01347918901592493,0.011776424013078213,38.34758424758911
8,64-64,"[64, 64]",0.0005,1e-05,123,772,0.010334959253668785,0.01013542152941227,0.01053449884057045,41.260597467422485
9,64-64,"[64, 64]",0.0005,1e-05,2026,365,0.01265616063028574,0.012224731035530567,0.013087591156363487,22.002767086029053
10,64-64,"[64, 64]",0.0005,0.0001,42,994,0.01057265605777502,0.011518668383359909,0.009626642800867558,51.92854380607605
11,64-64,"[64, 64]",0.0005,0.0001,123,487,0.009696888737380505,0.009210141375660896,0.010183634236454964,30.323568105697632
12,64-64,"[64, 64]",0.0005,0.0001,2026,587,0.012262959964573383,0.011252039112150669,0.013273879885673523,36.51389741897583
13,32-64-32,"[32, 64, 32]",0.001,1e-05,42,407,0.009606031700968742,0.010478517040610313,0.008733547292649746,27.972141981124878
14,32-64-32,"[32, 64, 32]",0.001,1e-05,123,732,0.010987014509737492,0.011184584349393845,0.010789445601403713,45.58231329917908
15,32-64-32,"[32, 64, 32]",0.001,1e-05,2026,1493,0.007688380777835846,0.006591664627194405,0.008785098791122437,85.91828656196594
16,32-64-32,"[32, 64, 32]",0.001,0.0001,42,1473,0.007147934753447771,0.006422681268304586,0.007873188704252243,84.58929061889648
17,32-64-32,"[32, 64, 32]",0.001,0.0001,123,741,0.009648694656789303,0.00966318417340517,0.009634207002818584,48.58948040008545
18,32-64-32,"[32, 64, 32]",0.001,0.0001,2026,269,0.011017205193638802,0.009286950342357159,0.012747455388307571,23.63069725036621
19,32-64-32,"[32, 64, 32]",0.0005,1e-05,42,444,0.011872079223394394,0.01175390463322401,0.011990254744887352,29.910806894302368
20,32-64-32,"[32, 64, 32]",0.0005,1e-05,123,721,0.008948411792516708,0.009397405199706554,0.008499416522681713,45.12258529663086
21,32-64-32,"[32, 64, 32]",0.0005,1e-05,2026,579,0.011316614225506783,0.009461307898163795,0.01317192055284977,38.008224964141846
22,32-64-32,"[32, 64, 32]",0.0005,0.0001,42,1144,0.008769309148192406,0.008769017644226551,0.008769598789513111,70.07582473754883
23,32-64-32,"[32, 64, 32]",0.0005,0.0001,123,1319,0.008402825333178043,0.009024153463542461,0.007781496271491051,77.50749778747559
24,32-64-32,"[32, 64, 32]",0.0005,0.0001,2026,1119,0.00920903030782938,0.008220708929002285,0.010197349824011326,72.61094069480896
25,128-64,"[128, 64]",0.001,1e-05,42,239,0.012269817292690277,0.011773819103837013,0.012765815481543541,18.79294729232788
26,128-64,"[128, 64]",0.001,1e-05,123,396,0.014182918705046177,0.014926550909876823,0.01343928650021553,24.795836687088013
27,128-64,"[128, 64]",0.001,1e-05,2026,242,0.01109976228326559,0.011246142908930779,0.010953380726277828,17.053449392318726
28,128-64,"[128, 64]",0.001,0.0001,42,531,0.010367111302912235,0.01036122813820839,0.010372995398938656,37.36087918281555
29,128-64,"[128, 64]",0.001,0.0001,123,442,0.011068187654018402,0.010957046411931515,0.011179330758750439,30.902074098587036
30,128-64,"[128, 64]",0.001,0.0001,2026,341,0.010745919309556484,0.01121163833886385,0.010280201211571693,22.99256420135498
31,128-64,"[128, 64]",0.0005,1e-05,42,668,0.012722425162792206,0.01248546876013279,0.012959381565451622,40.81478452682495
32,128-64,"[128, 64]",0.0005,1e-05,123,374,0.014420399442315102,0.01387294102460146,0.014967856928706169,27.975778579711914
33,128-64,"[128, 64]",0.0005,1e-05,2026,366,0.01192709244787693,0.013325120322406292,0.010529069229960442,24.19704794883728
34,128-64,"[128, 64]",0.0005,0.0001,42,912,0.01173264067620039,0.011568933725357056,0.011896347627043724,53.99349355697632
35,128-64,"[128, 64]",0.0005,0.0001,123,782,0.011310272850096226,0.010904397815465927,0.011716146022081375,42.77434539794922
36,128-64,"[128, 64]",0.0005,0.0001,2026,366,0.011051768437027931,0.01131639163941145,0.010787146165966988,25.63104772567749
