architecture,hidden_layers,learning_rate,weight_decay,val_loss_mean,val_loss_std,val_peak_y_loss_mean,val_max_abs_xr_loss_mean,best_epoch_mean,training_time_s_mean,training_time_s_total,n_runs
32-64-32,"[32, 64, 32]",0.0005,0.0001,0.008793721596399942,0.0004036565260326594,0.008671293345590433,0.008916148295005163,1194.0,73.39808773994446,220.19426321983337,3
32-64-32,"[32, 64, 32]",0.001,0.0001,0.009271278201291958,0.0019620514316638486,0.008457605261355639,0.010084950365126133,827.6666666666666,52.26982275644938,156.80946826934814,3
32-64-32,"[32, 64, 32]",0.001,1e-05,0.009427142329514027,0.0016565769465148434,0.009418255339066187,0.009436030561725298,877.3333333333334,53.157580614089966,159.4727418422699,3
64-64,"[64, 64]",0.001,0.0001,0.00979213168223699,0.00022523223150805246,0.00908805305759112,0.010496211548646292,443.0,21.382890780766804,64.14867234230042,3
32-64-32,"[32, 64, 32]",0.0005,1e-05,0.010712368413805962,0.001552672715775034,0.010204205910364786,0.011220530606806278,581.3333333333334,37.68053905169169,113.04161715507507,3
128-64,"[128, 64]",0.001,0.0001,0.010727072755495707,0.00035091794905655466,0.010843304296334585,0.010610842456420263,438.0,30.418505827585857,91.25551748275757,3
64-64,"[64, 64]",0.0005,0.0001,0.01084416825324297,0.00130440390216093,0.010660282957057158,0.011028052307665348,689.3333333333334,39.588669776916504,118.76600933074951,3
64-64,"[64, 64]",0.001,1e-05,0.010939505882561207,0.000817433580731801,0.010565805869797865,0.01131320713708798,322.0,15.594711224238077,46.78413367271423,3
128-64,"[128, 64]",0.0005,0.0001,0.011364893987774849,0.0003437067835087195,0.011263241060078144,0.011466546605030695,686.6666666666666,40.79962889353434,122.39888668060303,3
64-64,"[64, 64]",0.0005,1e-05,0.011872975466152033,0.0013320365578190637,0.011946447193622589,0.01179950467000405,630.6666666666666,33.87031626701355,101.61094880104065,3
128-64,"[128, 64]",0.001,1e-05,0.012517499427000681,0.0015564296354265857,0.012648837640881538,0.012386160902678967,292.3333333333333,20.214077790578205,60.64223337173462,3
128-64,"[128, 64]",0.0005,1e-05,0.01302330568432808,0.0012735940319852127,0.013227843369046846,0.012818769241372744,469.3333333333333,30.995870351791382,92.98761105537415,3
