method,run_label,target,seed,loaded_from_existing,total_wall_time_s,mean_iteration_time_s,mean_simulation_time_s,mean_gp_fit_time_s,mean_acquisition_time_s
BO,final_BO_PI_RBF_alpha1em08_budget200_target0550_seed2026,0.55,2026,True,172.79770509921946,0.8639885254960973,0.43453661900479346,0.42017704700352626,0.009134514493634883
BO,final_BO_PI_RBF_alpha1em08_budget200_target0550_seed2027,0.55,2027,True,161.6289742984809,0.8081448714924044,0.4500005804968532,0.34821470698923807,0.009788829991593914
BO,final_BO_PI_RBF_alpha1em08_budget200_target0600_seed2026,0.6,2026,True,177.38471390260383,0.8869235695130192,0.45929416399798356,0.4176652855030261,0.00982124800910238
BO,final_BO_PI_RBF_alpha1em08_budget200_target0600_seed2027,0.6,2027,True,167.48909130180255,0.8374454565090127,0.4244924914976582,0.4029888275056146,0.00982072600629176
BO,final_BO_PI_RBF_alpha1em08_budget200_target0650_seed2026,0.65,2026,True,167.92389909783378,0.8396194954891689,0.4203382090071682,0.4094414575048722,0.009698440501233517
BO,final_BO_PI_RBF_alpha1em08_budget200_target0650_seed2027,0.65,2027,True,168.10522620053962,0.8405261310026981,0.44317185499472544,0.3874469250009861,0.009764277494978114
BO,final_BO_PI_RBF_alpha1em08_budget200_target0700_seed2026,0.7,2026,True,164.9012178988196,0.824506089494098,0.4112194009998348,0.40342688249656933,0.00971605400438416
BO,final_BO_PI_RBF_alpha1em08_budget200_target0700_seed2027,0.7,2027,True,166.99465970136225,0.8349732985068112,0.4333206629974302,0.3917463244975079,0.00976202550344165
BO,final_BO_PI_RBF_alpha1em08_budget200_target0750_seed2026,0.75,2026,True,164.65271750069223,0.8232635875034612,0.3980076829902828,0.4150915790104773,0.010019973000744314
BO,final_BO_PI_RBF_alpha1em08_budget200_target0750_seed2027,0.75,2027,True,168.14344579866156,0.8407172289933078,0.466108062005369,0.3624689730082173,0.011987570008495778
RandomSearch,final_RS_budget200_target0550_seed2026,0.55,2026,True,92.52531070169061,0.46262655350845305,0.4625711264950223,0.0,0.0
RandomSearch,final_RS_budget200_target0550_seed2027,0.55,2027,True,88.6002737970557,0.44300136898527853,0.44294843699550257,0.0,0.0
RandomSearch,final_RS_budget200_target0600_seed2026,0.6,2026,True,89.00801620143466,0.4450400810071733,0.4449867700051982,0.0,0.0
RandomSearch,final_RS_budget200_target0600_seed2027,0.6,2027,True,83.5070688999258,0.417535344499629,0.4174854539975058,0.0,0.0
RandomSearch,final_RS_budget200_target0650_seed2026,0.65,2026,True,85.68549630139023,0.42842748150695115,0.42837571950280107,0.0,0.0
RandomSearch,final_RS_budget200_target0650_seed2027,0.65,2027,True,85.78890720079653,0.42894453600398263,0.428893384487601,0.0,0.0
RandomSearch,final_RS_budget200_target0700_seed2026,0.7,2026,True,82.01496890070848,0.4100748445035424,0.41002554598846475,0.0,0.0
RandomSearch,final_RS_budget200_target0700_seed2027,0.7,2027,True,83.05395170184784,0.4152697585092392,0.4152207505016122,0.0,0.0
RandomSearch,final_RS_budget200_target0750_seed2026,0.75,2026,True,80.91050789924338,0.40455253949621695,0.40450357299181633,0.0,0.0
RandomSearch,final_RS_budget200_target0750_seed2027,0.75,2027,True,82.6257247000467,0.4131286235002335,0.413080122997053,0.0,0.0
