method,method_type,target,y_target,attempt,objective_value,optimization_time_s,n_function_evaluations,success,message,y_gp_pred,y_gp_std,max_xr_gp_pred,max_xr_gp_std,predicted_constraint_violation_gp,y_sim,error_gp,error_sim,error_gp_vs_sim,max_xr_sim,max_xb_sim,extra_reach,constraint_violation,feasible,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
baseline,baseline_peak_y_only,0.52,0.52,1,1.9644912168495743e-05,6.858083009719849,13075,False,Maximum number of iterations has been exceeded.,0.52017135784863,0.011435485314350428,0.4990853522344122,0.004616694664258982,0.004085352234412198,0.5275024604504223,0.0001713578486299827,0.007502460450422244,0.007331102601792261,0.49882462617366763,0.17096605270342757,0.02750246045042226,0.0,True,1000.0,4969.959918118648,20.0,0.1,0.24871318928908087,0.10000213207062592,3.9999725911000015,0.09000000887474342,0.3500000721915888,10.0
baseline,baseline_peak_y_only,0.52,0.52,2,1.9645216766095232e-05,6.704183101654053,13075,False,Maximum number of iterations has been exceeded.,0.5201614863287282,0.01143653179704673,0.49928595028694156,0.004619795394771447,0.0042859502869415644,0.5275103024427569,0.00016148632872814428,0.0075103024427568554,0.007348816114028711,0.49903997097141595,0.17097347322299858,0.027510302442756873,0.0,True,1000.0,4971.379528011935,20.0,0.1,0.24830555935049467,0.1000172195881869,3.9999015362612327,0.09000007833191485,0.35000045522075535,10.0
baseline,baseline_peak_y_only,0.52,0.52,3,1.9644915788994768e-05,6.606804132461548,13075,False,Maximum number of iterations has been exceeded.,0.5201693769535555,0.011435683112258472,0.49914151262056083,0.004617161283409037,0.004141512620560839,0.5275051655020432,0.00016937695355545568,0.007505165502043165,0.0073357885484877094,0.498885493134847,0.17096828112514675,0.027505165502043183,0.0,True,1000.0,4970.088753510234,20.0,0.1,0.2485989323004155,0.10000873700347382,3.99994690390772,0.09000001116633849,0.3500000102320224,10.0
baseline,baseline_peak_y_only,0.52,0.52,4,1.9644923787779532e-05,6.601033687591553,13075,False,Maximum number of iterations has been exceeded.,0.5201702108801404,0.0114356028974023,0.49908880573396586,0.004617180144101883,0.004088805733965861,0.5275025681686332,0.00017021088014035346,0.00750256816863315,0.007332357288492797,0.49883198783303356,0.17096564300167047,0.027502568168633168,0.0,True,1000.0,4970.325520159961,20.0,0.1,0.24870529582756623,0.10000109236766083,3.9999421639135826,0.09000000490722572,0.35000010368129075,10.0
baseline,baseline_peak_y_only,0.52,0.52,5,1.9645032071999498e-05,6.685995101928711,13075,False,Maximum number of iterations has been exceeded.,0.5201720792833876,0.011435448043176479,0.4992241120848011,0.0046156517803226235,0.004224112084801113,0.5275139008154294,0.00017207928338758283,0.007513900815429353,0.00734182153204177,0.4989709248098642,0.1709721249617027,0.02751390081542937,0.0,True,1000.0,4968.870545155662,20.0,0.1,0.24843261274485745,0.10001391405960106,3.999833047833987,0.09000006782094531,0.3500000114022372,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.52,0.52,1,2.0731923318069007e-05,15.188169240951538,13075,False,Maximum number of iterations has been exceeded.,0.520272334562217,0.011428523936420219,0.4949975584245254,0.004617538953796944,0.0,0.5272953150576905,0.0002723345622169804,0.007295315057690432,0.007022980495473452,0.49457126444312993,0.1707624735529985,0.02729531505769045,0.0,True,1000.0,4985.370622327454,20.0,0.1,0.25724555660398907,0.1000484008801116,3.999864176905348,0.09000091457626669,0.35000031285664523,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.52,0.52,2,2.0731198625213707e-05,15.171027898788452,13075,False,Maximum number of iterations has been exceeded.,0.5202775339407174,0.011427872246972968,0.4949853036219344,0.004614615743468428,0.0,0.527295493222961,0.00027753394071738935,0.007295493222960969,0.00701795928224358,0.49455280456752765,0.17076238947301958,0.027295493222960987,0.0,True,1000.0,4983.315656105076,20.0,0.1,0.25727158610600237,0.10001468029991087,3.9999493869134697,0.09000021797586243,0.35000077044080374,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.52,0.52,3,2.073169668911958e-05,15.255353927612305,13075,False,Maximum number of iterations has been exceeded.,0.5202746996816366,0.011428213351387257,0.4949446707471695,0.004616552205497997,0.0,0.5272904497285508,0.0002746996816366254,0.007290449728550752,0.0070157500469141265,0.4945123667108671,0.17076005375920653,0.02729044972855077,0.0,True,1000.0,4984.6976444346365,20.0,0.1,0.2573586000261427,0.1000796705649821,3.9999811131299703,0.09000015362154859,0.35000032240281737,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.52,0.52,4,2.0732190441034213e-05,15.334608554840088,13075,False,Maximum number of iterations has been exceeded.,0.5202884450988694,0.011426878779789007,0.49493013256073676,0.004610761474580092,0.0,0.5273013439601443,0.0002884450988693832,0.007301343960144258,0.007012898861274874,0.4944940154872563,0.17076126036656125,0.027301343960144275,0.0,True,1000.0,4981.097539732701,20.0,0.1,0.25738991754858687,0.10000540775374228,3.999808460996679,0.09000048131080962,0.3500006097222348,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.52,0.52,5,2.073249118411301e-05,15.20029354095459,13075,False,Maximum number of iterations has been exceeded.,0.520289574322722,0.011426827548180684,0.4949662765132604,0.004610378993865786,0.0,0.5273008921025317,0.00028957432272203043,0.007300892102531709,0.007011317779809678,0.49452817755478296,0.1707642790692961,0.027300892102531726,0.0,True,1000.0,4980.496984250594,20.0,0.1,0.25731608933271766,0.1001036476291364,3.9999908180118515,0.09000023491171498,0.35000176379368675,10.0
