method,target,peak_y_true,target_error_mm,target_error_mm_std,target_error_mm_min,target_error_mm_max,max_abs_xr_true,residual_margin_mm,residual_margin_mm_min_seed,constraint_violation_abs_mm,feasible_abs,feasibility_rate_seed_percent,optimization_time_s,online_true_simulator_calls,offline_dataset_calls,total_simulator_calls_equivalent,surrogate_function_evaluations,peak_y_pred,max_abs_xr_pred,peak_y_std,max_abs_xr_std,Kr,hr,f0,f1,A,x_r_start
GP+DE beta=0.5,0.55,0.5487590572139558,1.2409427860442523,,,,0.4573373815473215,42.662618452678494,,0.0,True,,37.84170842170715,25,3000,3025,13124.0,0.5500033607654893,0.4579077972762935,0.008135400655636,0.0033539541097075,3454.751748884594,0.4131372896810564,0.274959959507827,3.3150114032471656,0.0967305541289762,0.3510088176256682
GP+DE beta=0.5,0.6,0.602179815332378,2.179815332377988,,,,0.4897052459897865,10.294754010213513,,0.0,True,,39.1188759803772,25,3000,3025,13124.0,0.5999985639530213,0.4901573277985133,0.0080009102646528,0.0032687216813836,3200.4965531861103,0.339331663572937,0.2603059746582697,2.08123160656326,0.1040460725063755,0.3687521070632428
GP+DE beta=0.5,0.65,0.6431935949055905,6.806405094409551,,,,0.4938222646845115,6.177735315488486,,0.0,True,,39.01614427566528,25,3000,3025,13166.0,0.6499976565171977,0.4933443898048881,0.0080809679033513,0.0033104383803816,2848.1607979944138,0.189466428511817,0.3225356555402066,1.1860426080384647,0.1099880612058148,0.3647102731382364
GP+DE beta=0.5,0.7,0.6650377943907064,34.96220560929353,,,,0.4946796891026979,5.320310897302116,,0.0,True,,41.11799597740173,25,3000,3025,13257.0,0.6732045462185522,0.4942922694206126,0.00855883153359,0.0035536902756083,2618.326843188511,0.1359385040952601,0.449992030506943,1.1745537542489155,0.1199999637613332,0.3500000461029861
GP+DE beta=0.5,0.75,0.6679696522177854,82.03034778221463,,,,0.4961694687224863,3.8305312775137046,,0.0,True,,39.16877818107605,25,3000,3025,13187.0,0.6756296865748702,0.4958841276983851,0.0086134412543593,0.0035831269902483,2495.399607932813,0.1301845494973505,0.4499995303436717,1.1764472188043906,0.1199999942481833,0.3500000205545225
NN+Adam safe,0.55,0.549888090114176,0.1119098858239908,,,,0.4626455973326057,37.35440266739432,,0.0,True,,1.5329952239990234,50,3000,3050,160200.0,0.550000011920929,0.4632359147071838,,,1767.0968017578125,0.4454014003276825,0.1243123859167099,2.9840879440307617,0.0921325609087944,0.3589030504226684
NN+Adam safe,0.6,0.5997876441246601,0.2123558753398535,,,,0.473510213255221,26.489786744778975,,0.0,True,,1.411299705505371,50,3000,3050,160200.0,0.6000000238418579,0.4733035564422607,,,2432.250244140625,0.3948230743408203,0.3269336521625519,1.2245514392852783,0.100294753909111,0.3592419028282165
NN+Adam safe,0.65,0.6497231042951819,0.2768957048181475,,,,0.4902292534488889,9.770746551111099,,0.0,True,,1.4062871932983398,50,3000,3050,160200.0,0.6499999761581421,0.4849844574928283,,,2823.03564453125,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196
NN+Adam safe,0.7,0.6741195098385058,25.880490161494187,,,,0.4968788546791631,3.1211453208369044,,0.0,True,,1.3952832221984863,50,3000,3050,160200.0,0.6722344160079956,0.490052580833435,,,2498.97802734375,0.1009895130991935,0.4483785033226013,1.001764178276062,0.1192352548241615,0.3502747118473053
NN+Adam safe,0.75,0.674311787870032,75.68821212996801,,,,0.4970457383434024,2.954261656597623,,0.0,True,,1.4045283794403076,50,3000,3050,160200.0,0.6722921133041382,0.4901284873485565,,,2534.451171875,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239
