model,peak_y_rmse_mm,peak_y_mae_mm,peak_y_r2,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,max_abs_xr_r2,high_outreach_n,high_outreach_rmse_mm,high_outreach_mae_mm,constraint_accuracy_percent,false_feasible_percent,false_infeasible_percent,safety_margin_false_feasible_percent,safety_margin_unsafe_given_pred_safe_percent,safety_margin_pred_safe_count,safety_margin_unsafe_accepted_count,near_boundary_n,near_boundary_rmse_mm,near_boundary_mae_mm,near_boundary_accuracy_percent,near_boundary_false_feasible_percent,near_boundary_safety_margin_false_feasible_percent,training_time_s,warnings_total,gp_peak_kernel,gp_constraint_kernel,n_train,best_epoch_mean,best_val_loss_mean,n_seeds,nn_architecture,nn_constraint_loss_weight
GP pair,22.573449436792036,12.00718345612895,0.9450097430783959,11.558739369894644,6.124254968773275,0.9566418213451746,175,33.777767878037686,14.317955157539851,95.33333333333334,2.0,2.666666666666667,1.0,2.2222222222222223,270,6,214,6.609874664624075,4.497096977502205,87.38317757009347,5.607476635514018,2.803738317757009,3.1574978828430176,2.0,matern52,matern32,200,,,,,
NN multi-output,28.510092251893454,19.562851230007798,0.9122823199397934,19.18205136744677,11.10378028365261,0.8805901404964442,175,42.79950157759828,32.58190582777446,92.5,2.666666666666667,4.833333333333333,1.5,3.488372093023256,258,9,214,12.650669793547493,8.275715894497159,79.43925233644859,7.476635514018691,4.205607476635514,12.115501165390015,,,,200,460.0,0.9395403663317362,3.0,32-64-32,5.0
GP pair,19.513179474879195,8.894531487023707,0.9589090700662807,7.565332419528323,4.278261097792226,0.9814259710003724,175,30.33956757953097,10.084011843414435,97.0,1.3333333333333335,1.6666666666666667,0.5,1.1111111111111112,270,3,214,4.583474663786282,3.261280302209167,91.58878504672897,3.7383177570093453,1.4018691588785046,14.350804805755615,2.0,matern52,matern32,400,,,,,
NN multi-output,23.026745172511337,14.427053235287065,0.9427790582088738,14.600973648328207,8.3094061234904,0.9308147169014356,175,36.17669943273874,24.214022124828155,94.66666666666667,3.0,2.3333333333333335,1.0,2.1739130434782608,276,6,214,8.256150057402026,5.761232979539766,85.51401869158879,8.411214953271028,2.803738317757009,8.89317011833191,,,,400,237.66666666666666,0.4555506706237793,3.0,32-64-32,5.0
GP pair,17.37335745001464,7.286655008430034,0.96742702678067,5.411015755788181,2.8351949019971276,0.9904981606136369,175,28.14118360188147,9.620354148745522,97.33333333333334,1.1666666666666667,1.5,0.33333333333333337,0.7299270072992701,274,2,214,3.324882280702825,2.1523811771406627,92.5233644859813,3.2710280373831773,0.9345794392523363,55.582199573516846,1.0,matern52,matern32,800,,,,,
NN multi-output,18.526379640992463,9.359880895108672,0.9629599972276309,8.223281870630636,5.025676278932894,0.9780547545907976,175,29.995586066649125,14.6743270024072,96.16666666666667,2.0,1.8333333333333333,0.33333333333333337,0.7490636704119851,267,2,214,5.212812174387807,3.7517870046695396,89.25233644859813,5.607476635514018,0.9345794392523363,33.39627242088318,,,,800,554.3333333333334,0.13463479280471802,3.0,32-64-32,5.0
GP pair,13.919841186581015,6.713885711860478,0.9790897871992126,4.892027233496473,2.40199546279575,0.9922334557648526,175,21.352492201054453,9.008542639274147,97.5,1.0,1.5,0.16666666666666669,0.37174721189591076,269,1,214,3.035641090465909,1.884332084370054,92.99065420560748,2.803738317757009,0.46728971962616817,132.0844280719757,1.0,matern52,matern32,1200,,,,,
NN multi-output,16.839902927230288,8.094545038102977,0.9693966436533199,6.770187442279427,3.7402564905332447,0.9851251883968413,175,27.65813042382131,13.61898371086597,96.66666666666667,1.5,1.8333333333333333,0.16666666666666669,0.3676470588235294,272,1,214,3.737009388031523,2.752246027873294,90.65420560747664,4.205607476635514,0.46728971962616817,53.54042911529541,,,,1200,402.0,0.1336516613761584,3.0,32-64-32,5.0
GP pair,12.74197297824532,6.090757744700731,0.9824788240317868,4.3617104357024115,2.0279081410340574,0.9938260408910717,175,19.336977338896865,7.741914041742016,98.5,0.6666666666666667,0.8333333333333334,0.16666666666666669,0.36900369003690037,271,1,214,2.4531818433449923,1.4760400375516771,95.7943925233645,1.8691588785046727,0.46728971962616817,320.4676434993744,2.0,matern52,matern32,1600,,,,,
NN multi-output,15.468739518182442,7.011577809209086,0.9741774132846264,4.949875527641649,2.7609854048259943,0.9920486907612898,175,26.21910351752509,12.328976250803759,97.5,1.0,1.5,0.0,0.0,271,0,214,3.0927617319524323,2.1437028753761798,92.99065420560748,2.803738317757009,0.0,57.17723369598389,,,,1600,391.6666666666667,0.11572959274053574,3.0,32-64-32,5.0
GP pair,14.011464016304181,6.187796106921335,0.9788136119066191,4.028646124887036,1.7765143425999603,0.9947329392249762,175,22.361793444214744,9.073730791650675,98.83333333333333,0.5,0.6666666666666667,0.16666666666666669,0.3731343283582089,268,1,214,2.132519723721607,1.206282580036587,96.72897196261682,1.4018691588785046,0.46728971962616817,474.2585520744324,1.0,matern52,matern32,2000,,,,,
NN multi-output,16.037410144711444,6.677212889440702,0.9722439050776536,4.763929270161284,2.689742286179093,0.9926348652344474,175,27.34501234367501,11.934380005079786,98.5,0.5,1.0,0.0,0.0,265,0,214,2.9834141521719744,2.0642045179309534,95.7943925233645,1.4018691588785046,0.0,79.09923982620239,,,,2000,340.3333333333333,0.0835028054813544,3.0,32-64-32,5.0
