model,peak_y_rmse_mm,peak_y_mae_mm,peak_y_r2,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,max_abs_xr_r2,high_outreach_n,high_outreach_rmse_mm,high_outreach_mae_mm,constraint_accuracy_percent,false_feasible_percent,false_infeasible_percent,near_boundary_n,near_boundary_rmse_mm,near_boundary_mae_mm,near_boundary_accuracy_percent,near_boundary_false_feasible_percent,training_time_s,warnings_total,n_train,best_epoch_mean,best_val_loss_mean,n_seeds
GP pair,22.573449436792036,12.00718345612895,0.9450097430783959,12.442275756114727,7.041835114719162,0.9497599882064887,175,33.777767878037686,14.317955157539851,95.16666666666667,2.3333333333333335,2.5,214,7.518232631789087,5.187161759273709,87.38317757009347,6.074766355140187,3.3132286071777344,2.0,200,,,
NN multi-output,28.937212398388446,17.534383257931047,0.9096343710044426,21.101347723617835,11.391435686543344,0.8554991251652599,175,43.59916588589926,28.007087601565743,91.16666666666666,3.3333333333333335,5.5,214,12.101936388016519,8.155864063600369,75.70093457943925,9.345794392523365,6.317657709121704,,200,1443.0,0.08127857744693756,1.0
GP pair,19.513179474879195,8.894531487023707,0.9589090700662807,7.603952569584333,4.409838270656904,0.9812358504094246,175,30.33956757953097,10.084011843414435,96.66666666666667,1.3333333333333335,2.0,214,5.02220299873223,3.497951654791831,91.1214953271028,3.7383177570093453,17.40860867500305,1.0,400,,,
NN multi-output,22.69101448360215,12.957266704488202,0.9444354606948668,16.34885671820376,9.34820661912878,0.9132589123637781,175,34.3035308579585,19.584351321993456,93.5,2.3333333333333335,4.166666666666666,214,9.10824258898714,6.313283906287975,82.2429906542056,6.074766355140187,5.528088569641113,,400,531.0,0.07446947693824768,1.0
GP pair,17.37335745001464,7.286655008430034,0.96742702678067,5.635715217069754,3.1143766700842166,0.9896926228652023,175,28.14118360188147,9.620354148745522,97.5,1.1666666666666667,1.3333333333333335,214,3.704779576765672,2.5277425838889918,92.99065420560748,3.2710280373831773,81.33006429672241,1.0,800,,,
NN multi-output,19.046275310972746,9.798479892452056,0.960851961455114,10.372350533806234,5.742901982562979,0.9650856100018194,175,30.406622381929413,14.967904394534957,95.83333333333334,2.5,1.6666666666666667,214,4.981260725948011,3.7067691571281056,88.3177570093458,7.009345794392523,17.14671015739441,,800,1043.0,0.022846408188343048,1.0
GP pair,13.919841186581015,6.713885711860478,0.9790897871992126,4.978100452270877,2.5526210494066057,0.9919577531385843,175,21.352492201054453,9.008542639274147,97.33333333333334,1.0,1.6666666666666667,214,3.3307082443758,2.1216648780622482,92.5233644859813,2.803738317757009,204.91572427749634,1.0,1200,,,
NN multi-output,18.69120069157488,10.355245102109434,0.962298008332297,9.144752960347954,5.340581970763261,0.9728609873395057,175,29.535271453268543,16.4062049907197,95.16666666666667,2.5,2.3333333333333335,214,5.276996230432782,3.9306351985915797,86.91588785046729,7.009345794392523,8.232619285583496,,1200,262.0,0.029993105679750443,1.0
GP pair,12.74197297824532,6.090757744700731,0.9824788240317868,4.302307338058548,2.1857475008013165,0.993993064750593,175,19.336977338896865,7.741914041742016,98.33333333333333,0.6666666666666667,1.0,214,2.677433429743662,1.7702382096878349,95.32710280373831,1.8691588785046727,332.81700372695923,1.0,1600,,,
NN multi-output,16.33588674958055,7.863744689278323,0.9712011384635906,5.807152137799572,3.514697815125407,0.9890559896268418,175,26.962615558005417,13.196326317376029,96.66666666666667,0.8333333333333334,2.5,214,3.5732648703841106,2.647897473904021,90.65420560747664,2.336448598130841,35.97127366065979,,1600,1025.0,0.013730605132877827,1.0
GP pair,14.011464016304181,6.187796106921335,0.9788136119066191,3.846442481438632,1.901873279638245,0.9951985924274629,175,22.361793444214744,9.073730791650675,98.5,0.6666666666666667,0.8333333333333334,214,2.394095294475376,1.5101360843272915,95.7943925233645,1.8691588785046727,553.2650291919708,1.0,2000,,,
NN multi-output,16.110862147910193,7.541355365595616,0.9719890747137476,5.8870751324718205,3.217085947359299,0.9887526749914408,175,26.758130404768295,12.374486165291831,97.33333333333334,1.3333333333333335,1.3333333333333335,214,3.324063502320661,2.2598787179911115,92.5233644859813,3.7383177570093453,31.252848863601685,,2000,667.0,0.015562585555016994,1.0
GP pair,13.147290406222755,5.6793942653449045,0.981346410986469,3.7011857959416035,1.7675694741400036,0.9955543848717665,175,21.44230310766522,8.640571874088792,99.0,0.33333333333333337,0.6666666666666667,214,2.168504942191007,1.3896355777160883,97.19626168224299,0.9345794392523363,926.6842651367188,2.0,2400,,,
NN multi-output,16.06691365586354,6.805355577511037,0.9721416871381179,5.14110821565099,2.9172784472094695,0.9914224436664422,175,27.924510346396016,12.35478409214785,96.83333333333334,1.3333333333333335,1.8333333333333333,214,2.7743756103108765,1.9563897606280087,91.1214953271028,3.7383177570093453,29.359407901763916,,2400,531.0,0.010751504451036453,1.0
