Training samples,Model,peak_y RMSE [mm],peak_y R2,High-outreach RMSE [mm],max_abs_xr RMSE [mm],max_abs_xr R2,Constraint accuracy [%],False feasible [%],Near-boundary RMSE [mm],Near-boundary false feasible [%],Training time [s]
200,GP pair,22.573,0.945,33.778,12.442,0.95,95.167,2.333,7.518,6.075,3.313
200,NN multi-output,28.937,0.91,43.599,21.101,0.855,91.167,3.333,12.102,9.346,6.318
400,GP pair,19.513,0.959,30.34,7.604,0.981,96.667,1.333,5.022,3.738,17.409
400,NN multi-output,22.691,0.944,34.304,16.349,0.913,93.5,2.333,9.108,6.075,5.528
800,GP pair,17.373,0.967,28.141,5.636,0.99,97.5,1.167,3.705,3.271,81.33
800,NN multi-output,19.046,0.961,30.407,10.372,0.965,95.833,2.5,4.981,7.009,17.147
1200,GP pair,13.92,0.979,21.352,4.978,0.992,97.333,1.0,3.331,2.804,204.916
1200,NN multi-output,18.691,0.962,29.535,9.145,0.973,95.167,2.5,5.277,7.009,8.233
1600,GP pair,12.742,0.982,19.337,4.302,0.994,98.333,0.667,2.677,1.869,332.817
1600,NN multi-output,16.336,0.971,26.963,5.807,0.989,96.667,0.833,3.573,2.336,35.971
2000,GP pair,14.011,0.979,22.362,3.846,0.995,98.5,0.667,2.394,1.869,553.265
2000,NN multi-output,16.111,0.972,26.758,5.887,0.989,97.333,1.333,3.324,3.738,31.253
2400,GP pair,13.147,0.981,21.442,3.701,0.996,99.0,0.333,2.169,0.935,926.684
2400,NN multi-output,16.067,0.972,27.925,5.141,0.991,96.833,1.333,2.774,3.738,29.359
