n_train,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
20,0.6674796468133527,0.0730336387535616,0.06991648843107169,0.007674661323689327,0.04383034806793776,0.007844074378734626
40,0.721733323331106,0.08385820390809522,0.06349755029868488,0.0103968400393318,0.03821859543446254,0.01034562131876085
60,0.7864300494601943,0.06247627833298752,0.05570274604408451,0.008641970581204875,0.0324067018832061,0.0037754570334336325
80,0.8702738050710151,0.040702259394350494,0.04329971304985994,0.007429171012042041,0.024580624499458064,0.003696573302510451
100,0.908667517535387,0.0081961175288881,0.036825215833202994,0.0016559290432196954,0.02043812704864341,0.0007167997447337102
150,0.9187337088347466,0.007603026523060638,0.03473287020497876,0.001643843771435326,0.017709800835857575,0.0008488054505706232
200,0.9423847530371984,0.018683714435725945,0.028918091718693625,0.004576002394172049,0.015385439361345357,0.0013828854945769683
250,0.9500352042137953,0.01883086518069892,0.026816646774492258,0.004923451702782202,0.0141412100311894,0.0014115561546088576
300,0.9513545243819568,0.008805596058399234,0.026792880318894995,0.0024260517461272366,0.013854079656699084,0.0004802424425682964
350,0.9667879383391198,0.004143448764016909,0.02218630738767464,0.001376450930623841,0.0114486576373491,0.0006318506188445055
400,0.9675550557364548,2.1516320017755678e-08,0.021970747162046677,7.285104003109788e-09,0.011078190290516229,1.001562291727853e-09
