target,noise_level,noise_std_percent,uncertain_parameter,output_metric,pearson_correlation,abs_pearson_correlation
0.65,0.05,5.0,Kb,constraint_violation_mm,,
0.65,0.05,5.0,Mb,constraint_violation_mm,,
0.65,0.05,5.0,hb,constraint_violation_mm,,
0.65,0.05,5.0,Mr,constraint_violation_mm,,
0.65,0.05,5.0,Kb,delta_max_abs_xr_mm,0.5985712152967125,0.5985712152967125
0.65,0.05,5.0,Mb,delta_max_abs_xr_mm,-0.5267437274364143,0.5267437274364143
0.65,0.05,5.0,Mr,delta_max_abs_xr_mm,0.5211775777969542,0.5211775777969542
0.65,0.05,5.0,hb,delta_max_abs_xr_mm,-0.2364854857770706,0.2364854857770706
0.65,0.05,5.0,Mb,delta_peak_y_mm,-0.5613972410437059,0.5613972410437059
0.65,0.05,5.0,hb,delta_peak_y_mm,-0.5517226356710874,0.5517226356710874
0.65,0.05,5.0,Mr,delta_peak_y_mm,0.5385838825584646,0.5385838825584646
0.65,0.05,5.0,Kb,delta_peak_y_mm,0.18228753054665847,0.18228753054665847
0.65,0.05,5.0,Kb,max_abs_xr,0.5985712152967126,0.5985712152967126
0.65,0.05,5.0,Mb,max_abs_xr,-0.5267437274364145,0.5267437274364145
0.65,0.05,5.0,Mr,max_abs_xr,0.5211775777969545,0.5211775777969545
0.65,0.05,5.0,hb,max_abs_xr,-0.23648548577707065,0.23648548577707065
0.65,0.05,5.0,Mb,peak_y,-0.5613972410437059,0.5613972410437059
0.65,0.05,5.0,hb,peak_y,-0.5517226356710875,0.5517226356710875
0.65,0.05,5.0,Mr,peak_y,0.5385838825584647,0.5385838825584647
0.65,0.05,5.0,Kb,peak_y,0.1822875305466584,0.1822875305466584
0.65,0.05,5.0,Kb,residual_margin_mm,-0.5985712152967125,0.5985712152967125
0.65,0.05,5.0,Mb,residual_margin_mm,0.5267437274364143,0.5267437274364143
0.65,0.05,5.0,Mr,residual_margin_mm,-0.5211775777969543,0.5211775777969543
0.65,0.05,5.0,hb,residual_margin_mm,0.2364854857770706,0.2364854857770706
0.65,0.05,5.0,hb,target_error_mm,-0.19498042657757364,0.19498042657757364
0.65,0.05,5.0,Mr,target_error_mm,0.023373364997002193,0.023373364997002193
0.65,0.05,5.0,Kb,target_error_mm,0.014876160009403562,0.014876160009403562
0.65,0.05,5.0,Mb,target_error_mm,-0.012658990102169544,0.012658990102169544
0.65,0.1,10.0,Kb,constraint_violation_mm,0.15024190670282828,0.15024190670282828
0.65,0.1,10.0,Mr,constraint_violation_mm,0.1384178426535718,0.1384178426535718
0.65,0.1,10.0,Mb,constraint_violation_mm,-0.11899015244736902,0.11899015244736902
0.65,0.1,10.0,hb,constraint_violation_mm,-0.11265849591747298,0.11265849591747298
0.65,0.1,10.0,Mb,delta_max_abs_xr_mm,-0.5890476909888969,0.5890476909888969
0.65,0.1,10.0,Kb,delta_max_abs_xr_mm,0.5594873367611747,0.5594873367611747
0.65,0.1,10.0,Mr,delta_max_abs_xr_mm,0.4911148656733578,0.4911148656733578
0.65,0.1,10.0,hb,delta_max_abs_xr_mm,-0.2346295068147982,0.2346295068147982
0.65,0.1,10.0,Mb,delta_peak_y_mm,-0.635089968645118,0.635089968645118
0.65,0.1,10.0,hb,delta_peak_y_mm,-0.5339342350928216,0.5339342350928216
0.65,0.1,10.0,Mr,delta_peak_y_mm,0.5079805540272,0.5079805540272
0.65,0.1,10.0,Kb,delta_peak_y_mm,0.14805034802503064,0.14805034802503064
0.65,0.1,10.0,Mb,max_abs_xr,-0.5890476909888969,0.5890476909888969
0.65,0.1,10.0,Kb,max_abs_xr,0.5594873367611751,0.5594873367611751
0.65,0.1,10.0,Mr,max_abs_xr,0.4911148656733579,0.4911148656733579
0.65,0.1,10.0,hb,max_abs_xr,-0.23462950681479833,0.23462950681479833
0.65,0.1,10.0,Mb,peak_y,-0.635089968645118,0.635089968645118
0.65,0.1,10.0,hb,peak_y,-0.5339342350928217,0.5339342350928217
0.65,0.1,10.0,Mr,peak_y,0.5079805540272005,0.5079805540272005
0.65,0.1,10.0,Kb,peak_y,0.14805034802503075,0.14805034802503075
0.65,0.1,10.0,Mb,residual_margin_mm,0.589047690988897,0.589047690988897
0.65,0.1,10.0,Kb,residual_margin_mm,-0.5594873367611747,0.5594873367611747
0.65,0.1,10.0,Mr,residual_margin_mm,-0.49111486567335794,0.49111486567335794
0.65,0.1,10.0,hb,residual_margin_mm,0.23462950681479824,0.23462950681479824
0.65,0.1,10.0,hb,target_error_mm,-0.18269610813504542,0.18269610813504542
0.65,0.1,10.0,Mb,target_error_mm,-0.174610075786198,0.174610075786198
0.65,0.1,10.0,Mr,target_error_mm,0.06522311097952599,0.06522311097952599
0.65,0.1,10.0,Kb,target_error_mm,-0.0034783891772606403,0.0034783891772606403
0.75,0.05,5.0,Mb,constraint_violation_mm,-0.3132434626915685,0.3132434626915685
0.75,0.05,5.0,Mr,constraint_violation_mm,0.30329947582078964,0.30329947582078964
0.75,0.05,5.0,Kb,constraint_violation_mm,0.29344989925463705,0.29344989925463705
