case,time,dxb,dxr,xb,xr,y,dxb_measured,dxr_measured,xb_measured,xr_measured,y_measured,u,tracking_error_m,tracking_error_mm,measurement_noise_dxb,measurement_noise_dxr,measurement_noise_xb,measurement_noise_xr,disturbance_applied,n_failures_so_far
nominal,0.0,0.0,0.0,0.0,0.455427,0.455427,0.0,0.0,0.0,0.455427,0.455427,0.455427,-0.13735199999999992,-137.35199999999992,0.0,0.0,0.0,0.0,0,0
nominal,0.02,-0.021825376376706174,0.13429642931660535,-0.00023821195684369575,0.4568789014217104,0.4566406894648667,-0.021825376376706174,0.13429642931660535,-0.00023821195684369575,0.4568789014217104,0.4566406894648667,0.47542709591052584,-0.13613831053513326,-136.13831053513326,0.0,0.0,0.0,0.0,0,0
nominal,0.04,-0.05414554754914891,0.34063300449872447,-0.001035383516904703,0.46183399767613964,0.46079861415923495,-0.05414554754914891,0.34063300449872447,-0.001035383516904703,0.46183399767613964,0.46079861415923495,0.4954271873899006,-0.131980385840765,-131.980385840765,0.0,0.0,0.0,0.0,0,0
nominal,0.06,-0.08765187170972383,0.5671066253774417,-0.002504202991092035,0.47119251729334505,0.468688314302253,-0.08765187170972383,0.5671066253774417,-0.002504202991092035,0.47119251729334505,0.468688314302253,0.5154273006973124,-0.12409068569774695,-124.09068569774695,0.0,0.0,0.0,0.0,0,0
nominal,0.08,-0.11571400644499119,0.7759737654585468,-0.004597413459882036,0.48495482385116273,0.4803574103912807,-0.11571400644499119,0.7759737654585468,-0.004597413459882036,0.48495482385116273,0.4803574103912807,0.5354273080876076,-0.11242158960871923,-112.42158960871923,0.0,0.0,0.0,0.0,0,0
nominal,0.1,-0.13445308014281648,0.9442567800339678,-0.007162937483929918,0.5025152344202002,0.49535229693627025,-0.13445308014281648,0.9442567800339678,-0.007162937483929918,0.5025152344202002,0.49535229693627025,0.5554273104773224,-0.09742670306372969,-97.42670306372969,0.0,0.0,0.0,0.0,0,0
nominal,0.12,-0.14241056660942852,1.062105342904366,-0.009996115335666687,0.5229438639124364,0.5129477485767697,-0.14241056660942852,1.062105342904366,-0.009996115335666687,0.5229438639124364,0.5129477485767697,0.5754273110772536,-0.07983125142323022,-79.83125142323021,0.0,0.0,0.0,0.0,0,0
nominal,0.14,-0.13999066395636006,1.1298750947686478,-0.012882777228706566,0.5452213558407234,0.5323385786120168,-0.13999066395636006,1.1298750947686478,-0.012882777228706566,0.5452213558407234,0.5323385786120168,0.5954273111825561,-0.06044042138798311,-60.440421387983115,0.0,0.0,0.0,0.0,0,0
nominal,0.16,-0.12882676928905246,1.1547459241224223,-0.015630182876259596,0.5684093680354964,0.5527791851592367,-0.12882676928905246,1.1547459241224223,-0.015630182876259596,0.5684093680354964,0.5527791851592367,0.6154273111928169,-0.039999814840763204,-39.99981484076321,0.0,0.0,0.0,0.0,0,0
nominal,0.18,-0.08357545143119449,0.9776158996615982,-0.017784166887021,0.5899175334061028,0.5721333665190818,-0.08357545143119449,0.9776158996615982,-0.017784166887021,0.5899175334061028,0.5721333665190818,0.6101275586270118,-0.02064563348091819,-20.645633480918193,0.0,0.0,0.0,0.0,0,0
nominal,0.2,-0.004934381666149568,0.590239685762135,-0.018658494169576528,0.6055588790423545,0.586900384872778,-0.004934381666149568,0.590239685762135,-0.018658494169576528,0.6055588790423545,0.586900384872778,0.5901275586303812,-0.005878615127221987,-5.878615127221987,0.0,0.0,0.0,0.0,0,0
nominal,0.22,0.08479633502557582,0.11474563174691488,-0.017815953150188156,0.6123887469295648,0.5945727937793767,0.08479633502557582,0.11474563174691488,-0.017815953150188156,0.6123887469295648,0.5945727937793767,0.5701275586302179,0.0017937937793767178,1.7937937793767178,0.0,0.0,0.0,0.0,0,0
nominal,0.24,0.14462475601600144,-0.20683537774258287,-0.01547634981648394,0.6112363759584418,0.5957600261419579,0.14462475601600144,-0.20683537774258287,-0.01547634981648394,0.6112363759584418,0.5957600261419579,0.5721064369010174,0.002981026141957943,2.981026141957943,0.0,0.0,0.0,0.0,0,0
nominal,0.26,0.15629695410022248,-0.2592863531021381,-0.012445404159625677,0.6064699223730973,0.5940245182134716,0.15629695410022248,-0.2592863531021381,-0.012445404159625677,0.6064699223730973,0.5940245182134716,0.5920922058575607,0.0012455182134716303,1.2455182134716303,0.0,0.0,0.0,0.0,0,0
nominal,0.28,0.14530656033962197,-0.18790409731734758,-0.009423506818863583,0.6019783426587856,0.592554835839922,0.14530656033962197,-0.18790409731734758,-0.009423506818863583,0.6019783426587856,0.592554835839922,0.6024175595226389,-0.00022416416007797757,-0.22416416007797757,0.0,0.0,0.0,0.0,0,0
nominal,0.3,0.13434387130356662,-0.1255233648353009,-0.006623603576748128,0.5988377068086642,0.592214103231916,0.13434387130356662,-0.1255233648353009,-0.006623603576748128,0.5988377068086642,0.592214103231916,0.6004436549664992,-0.0005648967680839112,-0.5648967680839112,0.0,0.0,0.0,0.0,0,0
nominal,0.32,0.1294565401729263,-0.10848140026687059,-0.003978824458861485,0.5964725771821946,0.5924937527233332,0.1294565401729263,-0.10848140026687059,-0.003978824458861485,0.5964725771821946,0.5924937527233332,0.5939171891379333,-0.00028524727666678906,-0.28524727666678906,0.0,0.0,0.0,0.0,0,0
nominal,0.34,0.12702130895673758,-0.11567905058486927,-0.0014047489706774654,0.594191325175938,0.5927865762052605,0.12702130895673758,-0.11567905058486927,-0.0014047489706774654,0.594191325175938,0.5927865762052605,0.58869943915855,7.576205260595437e-06,0.007576205260595437,0.0,0.0,0.0,0.0,0,0
nominal,0.36,0.1228463726103336,-0.12177743039452071,0.0011031825673212415,0.5917761913220103,0.5928793738893315,0.1228463726103336,-0.12177743039452071,0.0011031825673212415,0.5917761913220103,0.5928793738893315,0.58594868016491,0.0001003738893315953,0.1003738893315953,0.0,0.0,0.0,0.0,0,0
nominal,0.38,0.11562141615785138,-0.11793664508773327,0.0034956731623101865,0.5893450758879502,0.5928407490502603,0.11562141615785138,-0.11793664508773327,0.0034956731623101865,0.5893450758879502,0.5928407490502603,0.5844613252211789,6.174905026035127e-05,0.06174905026035127,0.0,0.0,0.0,0.0,0,0
nominal,0.4,0.10606042208695299,-0.10718389120231109,0.005718783566024219,0.5870669043833012,0.5927856879493254,0.10606042208695299,-0.10718389120231109,0.005718783566024219,0.5870669043833012,0.5927856879493254,0.58310494765959,6.687949325456799e-06,0.006687949325456799,0.0,0.0,0.0,0.0,0,0
nominal,0.42,0.0952029808889987,-0.0945456986737856,0.007736569314333344,0.5850275682447686,0.592764137559102,0.0952029808889987,-0.0945456986737856,0.007736569314333344,0.5850275682447686,0.592764137559102,0.5815784583459778,-1.486244089798916e-05,-0.01486244089798916,0.0,0.0,0.0,0.0,0,0
nominal,0.44,0.08362278043895233,-0.0823468058038963,0.009529079430282734,0.5832401916503802,0.5927692710806629,0.08362278043895233,-0.0823468058038963,0.009529079430282734,0.5832401916503802,0.5927692710806629,0.5800800815693327,-9.728919337037567e-06,-0.009728919337037567,0.0,0.0,0.0,0.0,0,0
nominal,0.46,0.07149221839404785,-0.07053300844777599,0.011083593791608622,0.5816964520193666,0.5927800458109752,0.07149221839404785,-0.07053300844777599,0.011083593791608622,0.5816964520193666,0.5927800458109752,0.5788427553701656,1.0458109752642386e-06,0.0010458109752642386,0.0,0.0,0.0,0.0,0,0
nominal,0.48,0.05888578217976792,-0.05844729729255871,0.01238977360667515,0.5803956385281149,0.5927854121347901,0.05888578217976792,-0.05844729729255871,0.01238977360667515,0.5803956385281149,0.5927854121347901,0.5779510100365722,6.412134790134694e-06,0.006412134790134694,0.0,0.0,0.0,0.0,0,0
nominal,0.5,0.04594822088340844,-0.04584500268834946,0.013439505059515161,0.5793459060218439,0.5927854110813591,0.04594822088340844,-0.04584500268834946,0.013439505059515161,0.5793459060218439,0.5927854110813591,0.5773805839389268,6.411081359125603e-06,0.006411081359125603,0.0,0.0,0.0,0.0,0,0
nominal,0.52,0.032897248719226946,-0.03294028601404175,0.014228359335735005,0.5785554076311392,0.5927837669668742,0.032897248719226946,-0.03294028601404175,0.014228359335735005,0.5785554076311392,0.5927837669668742,0.5770849863861235,4.766966874236722e-06,0.004766966874236722,0.0,0.0,0.0,0.0,0,0
nominal,0.54,0.019966829579621925,-0.020093691552191206,0.014756461343721886,0.5780263650110965,0.5927828263548184,0.019966829579621925,-0.020093691552191206,0.014756461343721886,0.5780263650110965,0.5927828263548184,0.5770372832807523,3.826354818436961e-06,0.003826354818436961,0.0,0.0,0.0,0.0,0,0
nominal,0.56,0.00736840194483479,-0.0075966830947469255,0.015028401905630186,0.5777544286543339,0.5927828305599641,0.00736840194483479,-0.0075966830947469255,0.015028401905630186,0.5777544286543339,0.5927828305599641,0.5772278249500878,3.830559964113078e-06,0.0038305599641130783,0.0,0.0,0.0,0.0,0,0
nominal,0.58,-0.004716412422601124,0.004361991802514176,0.015052705297880869,0.5777304434588549,0.5927831487567358,-0.004716412422601124,0.004361991802514176,0.015052705297880869,0.5777304434588549,0.5927831487567358,0.5776490719973514,4.148756735822268e-06,0.004148756735822268,0.0,0.0,0.0,0.0,0,0
nominal,0.6,-0.016128913124734745,0.015646944441456423,0.014841303453270477,0.5779419993929195,0.59278330284619,-0.016128913124734745,0.015646944441456423,0.014841303453270477,0.5779419993929195,0.59278330284619,0.5782870163744346,4.302846190018528e-06,0.004302846190018528,0.0,0.0,0.0,0.0,0,0
nominal,0.62,-0.026727722458716796,0.026134812585182132,0.014409136423457621,0.5783740676339403,0.5927832040573979,-0.026727722458716796,0.026134812585182132,0.014409136423457621,0.5783740676339403,0.5927832040573979,0.5791211183050546,4.204057397982908e-06,0.004204057397982908,0.0,0.0,0.0,0.0,0,0
nominal,0.64,-0.03638849842963621,0.03570553892493322,0.013773808949354822,0.5790091507883954,0.5927829597377503,-0.03638849842963621,0.03570553892493322,0.013773808949354822,0.5790091507883954,0.5927829597377503,0.5801274442349906,3.959737750358627e-06,0.003959737750358627,0.0,0.0,0.0,0.0,0,0
nominal,0.66,-0.04500631869826366,0.04425137039510574,0.012955223867812733,0.5798274477705717,0.5927826716383845,-0.04500631869826366,0.04425137039510574,0.012955223867812733,0.5798274477705717,0.5927826716383845,0.5812809896300575,3.671638384550313e-06,0.003671638384550313,0.0,0.0,0.0,0.0,0,0
nominal,0.68,-0.05249772018235743,0.051685914870520655,0.011975170820797808,0.5808072018609568,0.5927823726817546,-0.05249772018235743,0.051685914870520655,0.011975170820797808,0.5808072018609568,0.5927823726817546,0.5825564155056744,3.3726817546542165e-06,0.0033726817546542165,0.0,0.0,0.0,0.0,0,0
nominal,0.7000000000000001,-0.05880137357036974,0.057947052355798334,0.01085688829098884,0.5819251660370612,0.5927820543280501,-0.05880137357036974,0.057947052355798334,0.01085688829098884,0.5819251660370612,0.5927820543280501,0.5839280494262648,3.054328050144939e-06,0.003054328050144939,0.0,0.0,0.0,0.0,0,0
nominal,0.72,-0.06387776492357689,0.06299569212734824,0.009624622569400875,0.5831570824274191,0.59278170499682,-0.06387776492357689,0.06299569212734824,0.009624622569400875,0.5831570824274191,0.59278170499682,0.5853699434952737,2.7049968200909547e-06,0.0027049968200909547,0.0,0.0,0.0,0.0,0,0
nominal,0.74,-0.06770847486851717,0.06681372687082288,0.008303197328202052,0.5844781278400829,0.592781325168285,-0.06770847486851717,0.06681372687082288,0.008303197328202052,0.5844781278400829,0.592781325168285,0.5868562024209725,2.325168285022272e-06,0.002325168285022272,0.0,0.0,0.0,0.0,0,0
nominal,0.76,-0.07029532091207369,0.06940265634692722,0.00691759901882228,0.5858633249900708,0.592780924008893,-0.07029532091207369,0.06940265634692722,0.00691759901882228,0.5858633249900708,0.592780924008893,0.5883614474584171,1.924008893094964e-06,0.001924008893094964,0.0,0.0,0.0,0.0,0,0
