run_id,architecture,hidden_layers,learning_rate,weight_decay,seed,best_epoch,best_val_loss,best_val_peak_y_loss,best_val_max_abs_xr_loss,training_time_s
1,64-64,"[64, 64]",0.001,1e-05,42,240,0.015857594087719917,0.017181359231472015,0.014533831737935543,7.767084360122681
2,64-64,"[64, 64]",0.001,1e-05,123,255,0.016520317643880844,0.019256185740232468,0.013784446753561497,8.059238910675049
3,64-64,"[64, 64]",0.001,1e-05,2026,257,0.011316266842186451,0.013145134784281254,0.009487397037446499,7.835409164428711
4,64-64,"[64, 64]",0.001,0.0001,42,494,0.01445371937006712,0.017758997157216072,0.011148441582918167,13.093789100646973
5,64-64,"[64, 64]",0.001,0.0001,123,1156,0.010303384624421597,0.01343405432999134,0.007172714453190565,31.090206623077393
6,64-64,"[64, 64]",0.001,0.0001,2026,369,0.010204250924289227,0.011991252191364765,0.008417248725891113,10.2860848903656
7,64-64,"[64, 64]",0.0005,1e-05,42,270,0.01620541326701641,0.015559389255940914,0.01685144193470478,10.94547152519226
8,64-64,"[64, 64]",0.0005,1e-05,123,544,0.016092659905552864,0.019624894484877586,0.012560422532260418,19.836436986923218
9,64-64,"[64, 64]",0.0005,1e-05,2026,679,0.009433167986571789,0.010992751456797123,0.007873584516346455,20.140109300613403
10,64-64,"[64, 64]",0.0005,0.0001,42,727,0.014160146936774254,0.016091279685497284,0.012229016050696373,21.970419883728027
11,64-64,"[64, 64]",0.0005,0.0001,123,384,0.015982478857040405,0.016463737934827805,0.01550122071057558,14.584311485290527
12,64-64,"[64, 64]",0.0005,0.0001,2026,993,0.010618112049996853,0.01347061712294817,0.007765607908368111,33.32526731491089
13,32-64-32,"[32, 64, 32]",0.001,1e-05,42,561,0.01442510075867176,0.017310136929154396,0.01154006365686655,22.639995098114014
14,32-64-32,"[32, 64, 32]",0.001,1e-05,123,351,0.014652215875685215,0.015958182513713837,0.013346249237656593,14.688321113586426
15,32-64-32,"[32, 64, 32]",0.001,1e-05,2026,208,0.013265026733279228,0.012340799905359745,0.014189249835908413,9.961604118347168
16,32-64-32,"[32, 64, 32]",0.001,0.0001,42,228,0.01655574142932892,0.015807917341589928,0.01730356365442276,11.731082439422607
17,32-64-32,"[32, 64, 32]",0.001,0.0001,123,910,0.010103271342813969,0.010118963196873665,0.010087581351399422,34.07505130767822
18,32-64-32,"[32, 64, 32]",0.001,0.0001,2026,271,0.012606359086930752,0.011575144715607166,0.013637572526931763,11.782744884490967
19,32-64-32,"[32, 64, 32]",0.0005,1e-05,42,747,0.013706773519515991,0.013036136515438557,0.014377409592270851,26.03823733329773
20,32-64-32,"[32, 64, 32]",0.0005,1e-05,123,621,0.015302488580346107,0.014853938482701778,0.015751037746667862,21.79489803314209
21,32-64-32,"[32, 64, 32]",0.0005,1e-05,2026,771,0.013362063094973564,0.012263188138604164,0.014460938982665539,28.304694652557373
22,32-64-32,"[32, 64, 32]",0.0005,0.0001,42,543,0.014614439569413662,0.014619353227317333,0.014609526842832565,21.391414165496826
23,32-64-32,"[32, 64, 32]",0.0005,0.0001,123,830,0.01409244630485773,0.01661909930408001,0.011565792374312878,30.61484122276306
24,32-64-32,"[32, 64, 32]",0.0005,0.0001,2026,908,0.011871034279465675,0.012065354734659195,0.011676712892949581,37.32076573371887
25,128-64,"[128, 64]",0.001,1e-05,42,654,0.008831041865050793,0.01053515076637268,0.007126933429390192,22.874562740325928
26,128-64,"[128, 64]",0.001,1e-05,123,852,0.015511871315538883,0.017962956801056862,0.013060787692666054,28.713327169418335
27,128-64,"[128, 64]",0.001,1e-05,2026,1370,0.01234870683401823,0.015251337550580502,0.009446077980101109,41.20369052886963
28,128-64,"[128, 64]",0.001,0.0001,42,554,0.009249253198504448,0.011750342324376106,0.006748163606971502,18.536962270736694
29,128-64,"[128, 64]",0.001,0.0001,123,345,0.01518581248819828,0.016398118808865547,0.013973506167531013,13.55282473564148
30,128-64,"[128, 64]",0.001,0.0001,2026,1426,0.010334380902349949,0.015365689061582088,0.005303071346133947,41.90739393234253
31,128-64,"[128, 64]",0.0005,1e-05,42,354,0.013994317501783371,0.015186941251158714,0.012801693752408028,15.659255743026733
32,128-64,"[128, 64]",0.0005,1e-05,123,593,0.017420709133148193,0.018590983003377914,0.016250435262918472,19.65027093887329
33,128-64,"[128, 64]",0.0005,1e-05,2026,421,0.01580379530787468,0.018680067732930183,0.012927522882819176,14.389381885528564
34,128-64,"[128, 64]",0.0005,0.0001,42,904,0.011197936721146107,0.01479209866374731,0.007603774778544903,31.08394479751587
35,128-64,"[128, 64]",0.0005,0.0001,123,926,0.011940796859562397,0.013791408389806747,0.01009018812328577,33.32886838912964
36,128-64,"[128, 64]",0.0005,0.0001,2026,1012,0.012573818676173687,0.017171533778309822,0.007976100780069828,34.838433027267456
