architecture,hidden_layers,learning_rate,weight_decay,val_loss_mean,val_loss_std,val_peak_y_loss_mean,val_max_abs_xr_loss_mean,best_epoch_mean,training_time_s_mean,training_time_s_total,n_runs
128-64,"[128, 64]",0.001,0.0001,0.011589815529684225,0.003161134468453533,0.014504716731607914,0.00867491370687882,775.0,24.665726979573567,73.9971809387207,3
64-64,"[64, 64]",0.001,0.0001,0.011653784972925981,0.002425320874409419,0.014394767892857393,0.008912801587333282,673.0,18.156693538029987,54.470080614089966,3
128-64,"[128, 64]",0.0005,0.0001,0.011904184085627397,0.0006886713003705327,0.01525168027728796,0.008556687893966833,947.3333333333334,33.083748737970986,99.25124621391296,3
128-64,"[128, 64]",0.001,1e-05,0.012230540004869303,0.003341981909924197,0.014583148372670015,0.009877933034052452,958.6666666666666,30.930526812871296,92.79158043861389,3
32-64-32,"[32, 64, 32]",0.001,0.0001,0.01308845728635788,0.003253137955845205,0.012500675084690252,0.013676239177584648,469.6666666666667,19.196292877197266,57.5888786315918,3
32-64-32,"[32, 64, 32]",0.0005,0.0001,0.013525973384579023,0.0014567899036187289,0.014434602422018846,0.012617344036698341,760.3333333333334,29.775673707326252,89.32702112197876,3
64-64,"[64, 64]",0.0005,0.0001,0.013586912614603838,0.0027277382574604357,0.015341878247757753,0.011831948223213354,701.3333333333334,23.293332894643147,69.87999868392944,3
64-64,"[64, 64]",0.0005,1e-05,0.013910413719713688,0.003877818374593289,0.015392345065871874,0.012428482994437218,497.6666666666667,16.974005937576294,50.92201781272888,3
32-64-32,"[32, 64, 32]",0.001,1e-05,0.014114114455878735,0.0007440482441320058,0.015203039782742659,0.013025187576810518,373.3333333333333,15.763306776682535,47.28992033004761,3
32-64-32,"[32, 64, 32]",0.0005,1e-05,0.014123775064945221,0.001035244165759263,0.0133844210455815,0.014863128773868084,713.0,25.379276672999065,76.13783001899719,3
64-64,"[64, 64]",0.001,1e-05,0.014564726191262404,0.002832696018799382,0.01652755991866191,0.01260189184298118,250.66666666666666,7.88724414507548,23.66173243522644,3
128-64,"[128, 64]",0.0005,1e-05,0.01573960731426875,0.0017140974233584533,0.017485997329155605,0.013993217299381891,456.0,16.56630285580953,49.69890856742859,3
