run_id,architecture,hidden_layers,learning_rate,weight_decay,constraint_loss_weight,seed,best_epoch,best_val_loss,best_val_peak_y_loss,best_val_max_abs_xr_loss,training_time_s
1,64-64,"[64, 64]",0.001,1e-05,2.0,42,335,0.03250417858362198,0.012033349834382534,0.01023541484028101,16.60847568511963
2,64-64,"[64, 64]",0.001,1e-05,2.0,123,448,0.03003930300474167,0.01086831372231245,0.009585494175553322,21.606889247894287
3,64-64,"[64, 64]",0.001,1e-05,2.0,2026,294,0.030664712190628052,0.01053766068071127,0.010063525289297104,15.670451164245605
4,64-64,"[64, 64]",0.001,0.0001,2.0,42,334,0.03114517778158188,0.011721245013177395,0.009711965918540955,17.82792901992798
5,64-64,"[64, 64]",0.001,0.0001,2.0,123,277,0.03220366686582565,0.010634743608534336,0.010784461162984371,15.047877788543701
6,64-64,"[64, 64]",0.001,0.0001,2.0,2026,304,0.03377540782094002,0.010018534027040005,0.01187843643128872,16.859827280044556
7,64-64,"[64, 64]",0.0005,1e-05,2.0,42,416,0.03902344033122063,0.01415047887712717,0.012436481192708015,21.131632328033447
8,64-64,"[64, 64]",0.0005,1e-05,2.0,123,533,0.032850660383701324,0.009966221638023853,0.011442219838500023,26.492005109786987
9,64-64,"[64, 64]",0.0005,1e-05,2.0,2026,433,0.03619614988565445,0.010690906085073948,0.012752622365951538,24.17114758491516
10,64-64,"[64, 64]",0.0005,0.0001,2.0,42,777,0.03297591581940651,0.01284271664917469,0.01006659958511591,38.88244605064392
11,64-64,"[64, 64]",0.0005,0.0001,2.0,123,546,0.03277861326932907,0.008765287697315216,0.012006662786006927,30.746840000152588
12,64-64,"[64, 64]",0.0005,0.0001,2.0,2026,675,0.037244319915771484,0.010636916384100914,0.013303701765835285,40.54104471206665
13,32-64-32,"[32, 64, 32]",0.001,1e-05,2.0,42,253,0.03443396836519241,0.010982854291796684,0.01172555796802044,21.069620370864868
14,32-64-32,"[32, 64, 32]",0.001,1e-05,2.0,123,584,0.02798272855579853,0.008939186111092567,0.009521771222352982,38.83275866508484
15,32-64-32,"[32, 64, 32]",0.001,1e-05,2.0,2026,538,0.026257656514644623,0.009807020425796509,0.008225318044424057,37.82470202445984
16,32-64-32,"[32, 64, 32]",0.001,0.0001,2.0,42,602,0.030359402298927307,0.01058064866811037,0.009889377281069756,41.723570108413696
17,32-64-32,"[32, 64, 32]",0.001,0.0001,2.0,123,538,0.028078511357307434,0.008087855763733387,0.00999532826244831,36.54268264770508
18,32-64-32,"[32, 64, 32]",0.001,0.0001,2.0,2026,369,0.031026341021060944,0.009013370610773563,0.011006485670804977,28.949366569519043
19,32-64-32,"[32, 64, 32]",0.0005,1e-05,2.0,42,358,0.041970498859882355,0.012607848271727562,0.014681326225399971,27.019280195236206
20,32-64-32,"[32, 64, 32]",0.0005,1e-05,2.0,123,562,0.03165370970964432,0.008902344852685928,0.01137568149715662,37.72221231460571
21,32-64-32,"[32, 64, 32]",0.0005,1e-05,2.0,2026,661,0.0310533307492733,0.008700409904122353,0.011176460422575474,43.80212926864624
22,32-64-32,"[32, 64, 32]",0.0005,0.0001,2.0,42,813,0.03565917909145355,0.011511897668242455,0.012073640711605549,52.74878644943237
23,32-64-32,"[32, 64, 32]",0.0005,0.0001,2.0,123,507,0.03507161885499954,0.009085899218916893,0.0129928607493639,35.13491606712341
24,32-64-32,"[32, 64, 32]",0.0005,0.0001,2.0,2026,892,0.030160754919052124,0.008429651148617268,0.010865551419556141,56.841140031814575
25,128-64,"[128, 64]",0.001,1e-05,2.0,42,246,0.039734646677970886,0.015057995915412903,0.012338326312601566,19.038320779800415
26,128-64,"[128, 64]",0.001,1e-05,2.0,123,196,0.04553792253136635,0.013022605329751968,0.01625765860080719,16.099616527557373
27,128-64,"[128, 64]",0.001,1e-05,2.0,2026,325,0.034599702805280685,0.011814484372735023,0.011392609216272831,22.470759391784668
28,128-64,"[128, 64]",0.001,0.0001,2.0,42,316,0.03453179821372032,0.013894668780267239,0.010318564251065254,23.07306957244873
29,128-64,"[128, 64]",0.001,0.0001,2.0,123,390,0.04105757549405098,0.01168810110539198,0.014684736728668213,25.931867122650146
30,128-64,"[128, 64]",0.001,0.0001,2.0,2026,195,0.03444235399365425,0.011409776285290718,0.011516288854181767,15.898737668991089
31,128-64,"[128, 64]",0.0005,1e-05,2.0,42,230,0.04167243093252182,0.01290000881999731,0.014386210590600967,18.401540279388428
32,128-64,"[128, 64]",0.0005,1e-05,2.0,123,288,0.04758921265602112,0.012952437624335289,0.01731838844716549,23.523335456848145
33,128-64,"[128, 64]",0.0005,1e-05,2.0,2026,356,0.03532537817955017,0.014345559291541576,0.01048990897834301,24.23425579071045
34,128-64,"[128, 64]",0.0005,0.0001,2.0,42,580,0.03821855038404465,0.013588530011475086,0.012315010651946068,37.8178768157959
35,128-64,"[128, 64]",0.0005,0.0001,2.0,123,441,0.046899307519197464,0.012650021351873875,0.017124643549323082,27.28219437599182
36,128-64,"[128, 64]",0.0005,0.0001,2.0,2026,366,0.034298479557037354,0.013222265057265759,0.01053810678422451,24.513439893722534
