architecture,hidden_layers,learning_rate,weight_decay,val_loss_mean,val_loss_std,val_peak_y_loss_mean,val_max_abs_xr_loss_mean,best_epoch_mean,training_time_s_mean,training_time_s_total,n_runs
32-64-32,"[32, 64, 32]",0.001,1e-05,0.02955811781187852,0.00430980363247344,0.009909686942895254,0.009824215744932493,458.3333333333333,32.575693686803184,97.72708106040955,3
32-64-32,"[32, 64, 32]",0.001,0.0001,0.02982141822576523,0.0015457991715802956,0.00922729168087244,0.010297063738107681,503.0,35.73853977521261,107.21561932563782,3
64-64,"[64, 64]",0.001,1e-05,0.031069397926330566,0.0012813004383636767,0.011146441412468752,0.009961478101710478,359.0,17.961938699086506,53.88581609725952,3
64-64,"[64, 64]",0.001,0.0001,0.032374750822782516,0.0013234348511473818,0.010791507549583912,0.010791621170938015,305.0,16.578544696172077,49.735634088516235,3
32-64-32,"[32, 64, 32]",0.0005,0.0001,0.033630517621835075,0.00301922948251424,0.009675816011925539,0.011977350960175196,737.3333333333334,48.24161418279012,144.72484254837036,3
64-64,"[64, 64]",0.0005,0.0001,0.03433294966816902,0.0025232498118568014,0.01074830691019694,0.01179232137898604,666.0,36.723443587621055,110.17033076286316,3
32-64-32,"[32, 64, 32]",0.0005,1e-05,0.034892513106266655,0.006137061631620145,0.010070201009511948,0.012411156048377356,527.0,36.181207259496055,108.54362177848816,3
64-64,"[64, 64]",0.0005,1e-05,0.0360234168668588,0.003090013040742837,0.011602535533408323,0.012210441132386526,460.6666666666667,23.931595007578533,71.7947850227356,3
128-64,"[128, 64]",0.001,0.0001,0.03667724256714185,0.0037937432016478174,0.012330848723649979,0.012173196611305078,300.3333333333333,21.634558121363323,64.90367436408997,3
128-64,"[128, 64]",0.0005,0.0001,0.039805445820093155,0.006448557526819678,0.01315360547353824,0.013325920328497887,462.3333333333333,29.87117036183675,89.61351108551025,3
128-64,"[128, 64]",0.001,1e-05,0.03995742400487264,0.005472511763081785,0.013298361872633299,0.01332953137656053,255.66666666666666,19.202898899714153,57.608696699142456,3
128-64,"[128, 64]",0.0005,1e-05,0.041529007256031036,0.006133175097761596,0.013399335245291391,0.014064836005369822,291.3333333333333,22.053043842315674,66.15913152694702,3
