method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,benchmark,budget,long_total_evaluations,initial_points,kernel_label,acquisition_label,gp_alpha,alpha_label
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2026,0.65,0.6440891589000002,5.910841099999842,5.910841099999842,0.4917264918516237,0.0,8.273508148376296,True,0.34938042509447337,0.34938042509447337,0.0,39,50,rbf,pi,2026,4039.3588862952024,0.25271093249195076,0.2907628140842348,1.0521812864169058,0.11510681891238157,0.363561054834685,budget_sweep,50,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2026,0.65,0.6500784489717036,0.0784489717036152,0.0,0.49352370475338486,0.0,6.476295246615138,True,6.154241161354619e-05,6.154241161354619e-05,0.0,91,100,rbf,pi,2026,3951.7492236551284,0.21567142259698002,0.3294292718085768,1.180070401855517,0.11911501724608389,0.36007223616096984,budget_sweep,100,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2026,0.65,0.6500784489717036,0.0784489717036152,0.0,0.49352370475338486,0.0,6.476295246615138,True,6.154241161354619e-05,6.154241161354619e-05,0.0,91,150,rbf,pi,2026,3951.7492236551284,0.21567142259698002,0.3294292718085768,1.180070401855517,0.11911501724608389,0.36007223616096984,budget_sweep,150,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2026,0.65,0.6500784489717036,0.0784489717036152,0.0,0.49352370475338486,0.0,6.476295246615138,True,6.154241161354619e-05,6.154241161354619e-05,0.0,91,200,rbf,pi,2026,3951.7492236551284,0.21567142259698002,0.3294292718085768,1.180070401855517,0.11911501724608389,0.36007223616096984,budget_sweep,200,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2027,0.65,0.6511197656450451,1.1197656450451232,0.0,0.4941954348916877,0.0,5.804565108312287,True,0.01253875099823321,0.01253875099823321,0.0,23,50,rbf,pi,2027,3287.728588246783,0.2139697743415575,0.3737876711742366,1.0,0.11352430252571213,0.3637181613314671,budget_sweep,50,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2027,0.65,0.6495790824709096,0.42091752909045876,0.42091752909045876,0.49568556548731496,0.0,4.31443451268504,True,0.001771715662956172,0.001771715662956172,0.0,68,100,rbf,pi,2027,2539.5256419985126,0.10905154661142138,0.15211473484673133,1.5379500123550107,0.11866173696019816,0.35282283830946626,budget_sweep,100,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2027,0.65,0.6500696442427069,0.06964424270683445,0.0,0.4946596249483211,0.0,5.340375051678892,True,4.850320542208463e-05,4.850320542208463e-05,0.0,133,150,rbf,pi,2027,2535.651477431743,0.10609493923157412,0.1383738690660296,1.561781923294997,0.12,0.35,budget_sweep,150,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0650_seed2027,0.65,0.6500696442427069,0.06964424270683445,0.0,0.4946596249483211,0.0,5.340375051678892,True,4.850320542208463e-05,4.850320542208463e-05,0.0,133,200,rbf,pi,2027,2535.651477431743,0.10609493923157412,0.1383738690660296,1.561781923294997,0.12,0.35,budget_sweep,200,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2026,0.75,0.6525504256087593,97.44957439124069,97.44957439124069,0.4985537560396214,0.0,1.4462439603786237,True,94.96419549033952,94.96419549033952,0.0,45,50,rbf,pi,2026,3182.901208225696,0.28878049156799535,0.2150884475941851,1.0162217816762171,0.11640162738361355,0.36637228363017776,budget_sweep,50,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2026,0.75,0.6569465041215484,93.05349587845157,93.05349587845157,0.4997459773522488,0.0,0.2540226477512064,True,86.58953095201004,86.58953095201004,0.0,65,100,rbf,pi,2026,2420.8528652454343,0.28805396237242387,0.15125396845620245,1.0,0.11784690390039809,0.3611643543725287,budget_sweep,100,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2026,0.75,0.6569465041215484,93.05349587845157,93.05349587845157,0.4997459773522488,0.0,0.2540226477512064,True,86.58953095201004,86.58953095201004,0.0,65,150,rbf,pi,2026,2420.8528652454343,0.28805396237242387,0.15125396845620245,1.0,0.11784690390039809,0.3611643543725287,budget_sweep,150,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2026,0.75,0.6698239281208869,80.17607187911312,80.17607187911312,0.49898892774083037,0.0,1.011072259169632,True,64.28202501964715,64.28202501964715,0.0,157,200,rbf,pi,2026,1841.4332965178796,0.2632955518962478,0.44999999999999996,1.0,0.1190638973543821,0.35,budget_sweep,200,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2027,0.75,0.6563845533995453,93.61544660045473,93.61544660045473,0.49836687478876945,0.0,1.633125211230546,True,87.63851842202591,87.63851842202591,0.0,27,50,rbf,pi,2027,3307.4567633236516,0.21372072241204185,0.3992285419737387,1.0,0.11392726737801467,0.367457550620945,budget_sweep,50,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2027,0.75,0.6703496845675857,79.6503154324143,79.6503154324143,0.49877840533828754,0.0,1.2215946617124551,True,63.44172748483095,63.44172748483095,0.0,67,100,rbf,pi,2027,1995.0013930195696,0.2599737603500517,0.44999999999999996,1.0,0.12,0.35071186273596244,budget_sweep,100,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2027,0.75,0.6727249600721297,77.27503992787032,77.27503992787032,0.49577365140325913,0.0,4.22634859674087,True,59.71431795853953,59.71431795853953,0.0,135,150,rbf,pi,2027,2646.5267327054516,0.10376508793134709,0.44999999999999996,1.0,0.12,0.35,budget_sweep,150,200,20,RBF,PI,1e-08,1e-08
BO,budget_long_PI_RBF_alpha1em08_target0750_seed2027,0.75,0.6727249600721297,77.27503992787032,77.27503992787032,0.49577365140325913,0.0,4.22634859674087,True,59.71431795853953,59.71431795853953,0.0,135,200,rbf,pi,2027,2646.5267327054516,0.10376508793134709,0.44999999999999996,1.0,0.12,0.35,budget_sweep,200,200,20,RBF,PI,1e-08,1e-08
