target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,1,1,0.08162637218810748,4.5662340491159345e-08
0.55,1,2,0.08162637218810748,3.630538945106415e-08
0.55,1,3,0.08010764072159762,4.837097399477503e-08
0.55,1,4,0.07984763070573368,4.736903887727718e-08
0.55,1,5,0.07984763070573368,5.0994250047038235e-08
0.55,1,6,0.07881929083732378,4.3687227054356495e-08
0.55,1,7,0.07881929083732378,4.5026184622998e-08
0.55,1,8,0.07881929083732378,3.7008601047531055e-08
0.55,1,9,0.07881929083732378,3.119761299480775e-08
0.55,1,10,0.07881929083732378,8.139783002330257e-08
0.55,1,11,0.0787266266459576,8.687270503392191e-08
0.55,1,12,0.0787266266459576,9.066413761623382e-08
0.55,1,13,0.0787266266459576,1.7780123218959262e-07
0.55,1,14,0.07866099488462075,4.5286624412216924e-07
0.55,1,15,0.07866099488462075,4.732912357844753e-07
0.55,1,16,0.07866099488462075,6.247090008040322e-07
0.55,1,17,0.07836198070898849,6.714386362086166e-07
0.55,1,18,0.07836198070898849,6.956208064007475e-07
0.55,1,19,0.07836198070898849,1.006339901574602e-06
0.55,1,20,0.07836198070898849,1.959448232415121e-06
0.55,1,21,0.07836198070898849,2.5199618883225165e-06
0.55,1,22,0.07836198070898849,2.71214820198046e-06
0.55,1,23,0.07836198070898849,2.9472889944585894e-06
0.55,1,24,0.07836198070898849,5.114597819517084e-06
0.55,1,25,0.07836198070898849,5.772629264943766e-06
0.55,1,26,0.07836198070898849,6.147676680280699e-06
0.55,1,27,0.07832940462975893,7.767371597917568e-06
0.55,1,28,0.07829280177816725,8.248258303734379e-06
0.55,1,29,0.07825851387066263,8.408373902676092e-06
0.55,1,30,0.07825851387066263,8.721727602231117e-06
0.55,1,31,0.07825851387066263,8.928117417982638e-06
0.55,1,32,0.078191655507278,1.1123867982474175e-05
0.55,1,33,0.078191655507278,1.1257101669103359e-05
0.55,1,34,0.078191655507278,1.4130445227855326e-05
0.55,1,35,0.078191655507278,1.5354847824573353e-05
0.55,1,36,0.078191655507278,1.5342954291025358e-05
0.55,1,37,0.078191655507278,1.751514112775573e-05
0.55,1,38,0.078191655507278,1.804575694412899e-05
0.55,1,39,0.078191655507278,2.084607781219625e-05
0.55,1,40,0.078191655507278,2.2488104381422622e-05
0.55,1,41,0.078191655507278,2.3112982639825403e-05
0.55,1,42,0.07811973791377466,2.2689882846370386e-05
0.55,1,43,0.07811973791377466,2.2608627482755877e-05
0.55,1,44,0.07811973791377466,2.3117624153426584e-05
0.55,1,45,0.07811973791377466,2.458005863380779e-05
0.55,1,46,0.07811973791377466,3.0242689714838332e-05
0.55,1,47,0.07811973791377466,3.103820841993131e-05
0.55,1,48,0.07811973791377466,3.2100650951203016e-05
0.55,1,49,0.07811973791377466,3.153077790246206e-05
0.55,1,50,0.07811973791377466,3.108782468406585e-05
0.55,1,51,0.07811973791377466,3.568170696585694e-05
0.55,1,52,0.07810907116283503,3.501404576110653e-05
0.55,1,53,0.07810907116283503,3.637604630020166e-05
0.55,1,54,0.07810907116283503,3.822716985148089e-05
0.55,1,55,0.07810907116283503,4.435938041062926e-05
0.55,1,56,0.07810907116283503,4.5689144522992216e-05
0.55,1,57,0.07810907116283503,4.963677365811713e-05
0.55,1,58,0.07810757421471166,5.223056354932189e-05
0.55,1,59,0.07810757421471166,5.2330162948062794e-05
0.55,1,60,0.07810757421471166,6.010647118356608e-05
0.55,1,61,0.07810757421471166,6.29595527811474e-05
0.55,1,62,0.07810526209116973,6.587171587111657e-05
0.55,1,63,0.07810209976057636,6.772085772003513e-05
0.55,1,64,0.07810209976057636,7.694318893986255e-05
0.55,1,65,0.07810209976057636,8.216991896545849e-05
0.55,1,66,0.07810209976057636,9.120224384254612e-05
0.55,1,67,0.07810209976057636,0.00010358798922646307
0.55,1,68,0.07809893850412078,0.00011631074596606052
0.55,1,69,0.07809893850412078,0.00011782047423500505
0.55,1,70,0.07809893850412078,0.0001277514126587736
0.55,1,71,0.07809893850412078,0.00016501527208814557
0.55,1,72,0.07809893850412078,0.00016924082457177563
0.55,1,73,0.07809893850412078,0.00017911218124815308
0.55,1,74,0.07809658051195331,0.00018301932830182394
0.55,1,75,0.07809288569077838,0.000227554668078815
0.55,1,76,0.07809288569077838,0.00023429989590628084
0.55,1,77,0.07809288569077838,0.0002463234421495629
0.55,1,78,0.07809233676978919,0.0002471314634536163
0.55,1,79,0.07809222125432277,0.0002500273420744467
0.55,1,80,0.07809222125432277,0.0002546818546869566
0.55,1,81,0.07809204067006487,0.0002535189613270948
0.55,1,82,0.07809204067006487,0.00029389639710716565
0.55,1,83,0.07809204067006487,0.0002960661373276207
0.55,1,84,0.07809204067006487,0.0002957475492682357
0.55,1,85,0.07808980101642451,0.00030572652584106837
0.55,1,86,0.07808980101642451,0.0003056477267244498
0.55,1,87,0.07808980101642451,0.0003080292807056409
0.55,1,88,0.07808980101642451,0.0003268739120896006
0.55,1,89,0.07808980101642451,0.0003311947152271745
0.55,1,90,0.07808980101642451,0.0003430579034751635
0.55,1,91,0.07808980101642451,0.00035645234625030544
0.55,1,92,0.07808980101642451,0.0003589542007279605
0.55,1,93,0.07808980101642451,0.0007330633650463689
0.55,1,94,0.07808980101642451,0.0007659086958811413
0.55,1,95,0.07808980101642451,0.0007800949257674114
0.55,1,96,0.07808966645326457,0.0017628407489393234
0.55,1,97,0.07808966645326457,0.0020092248868954733
0.55,1,98,0.07808966645326457,0.0020825952508367654
0.55,1,99,0.07808966645326457,0.0023606797194347436
0.55,1,100,0.0780896450247158,0.00237149714902036
0.55,1,101,0.0780891632392655,0.0025170719385254154
0.55,1,102,0.0780891632392655,0.002529042496554152
0.55,1,103,0.07808889109915781,0.0027684937827291275
0.55,1,104,0.07808889109915781,0.0033374755067637437
0.55,1,105,0.07808889109915781,0.0037326564960631844
0.55,1,106,0.07808878159751201,0.004139129459774867
0.55,1,107,0.07808849662440911,0.004676701348208645
0.55,1,108,0.07808849662440911,0.004854528791793179
0.55,1,109,0.07808849662440911,0.004859038372246807
0.55,1,110,0.07808849662440911,0.004802914839191865
0.55,1,111,0.07808849662440911,0.005018499336222657
0.55,1,112,0.07808849662440911,0.006495284507275813
0.55,1,113,0.07808849662440911,0.007592953432850836
0.55,1,114,0.07808849662440911,0.009039152617901537
0.55,1,115,0.07808849662440911,0.009118707398291008
0.55,1,116,0.07808849662440911,0.009268574757076776
0.55,1,117,0.07808849662440911,0.00936533124942511
0.55,1,118,0.07808849662440911,0.00940945387707318
0.55,1,119,0.07808849662440911,0.009389183667554786
0.55,1,120,0.07808849662440911,0.01187674256457607
0.55,1,121,0.07808849118341574,
0.55,2,1,0.08067919483810487,3.6142542803030784e-08
0.55,2,2,0.08067919483810487,2.8475046461102733e-08
0.55,2,3,0.08067919483810487,4.5674580281179206e-08
0.55,2,4,0.08067919483810487,4.3743808520158826e-08
0.55,2,5,0.07893870840557231,4.2203848956068855e-08
0.55,2,6,0.07893870840557231,4.291853996184066e-08
0.55,2,7,0.07893870840557231,4.808906452816118e-08
0.55,2,8,0.07893870840557231,3.996958740457831e-08
0.55,2,9,0.07893870840557231,3.378100259217046e-08
0.55,2,10,0.07893870840557231,4.353681686071626e-08
0.55,2,11,0.07893870840557231,4.36430779676775e-08
0.55,2,12,0.07893870840557231,6.586556521705014e-08
0.55,2,13,0.07893870840557231,7.642702512529126e-08
0.55,2,14,0.07893870840557231,7.654161458521254e-08
0.55,2,15,0.07893870840557231,7.591851090144216e-08
0.55,2,16,0.07893870840557231,8.062403161599079e-08
0.55,2,17,0.07893870840557231,1.7615258426315286e-07
0.55,2,18,0.07893870840557231,2.1796612721049633e-07
0.55,2,19,0.07855410218566694,3.6467544848972535e-07
0.55,2,20,0.07855410218566694,3.6252918642877593e-07
0.55,2,21,0.07855410218566694,3.847042828744924e-07
0.55,2,22,0.07845870153445303,3.811178350450568e-07
0.55,2,23,0.07845870153445303,5.424907317757019e-07
0.55,2,24,0.07845870153445303,6.487341043133812e-07
0.55,2,25,0.07845870153445303,1.0824110601714658e-06
0.55,2,26,0.07845870153445303,1.3370401389300087e-06
0.55,2,27,0.0784427976394108,2.0977730743253013e-06
0.55,2,28,0.0784427976394108,2.225091281842335e-06
0.55,2,29,0.0784427976394108,2.209833653654438e-06
0.55,2,30,0.0784427976394108,3.090583131883385e-06
0.55,2,31,0.0784427976394108,3.264529227297464e-06
0.55,2,32,0.0784427976394108,3.720174983988428e-06
0.55,2,33,0.0784427976394108,3.7293679931408523e-06
0.55,2,34,0.0784427976394108,4.494035453082823e-06
0.55,2,35,0.07835785742213286,4.456490566139303e-06
0.55,2,36,0.07835785742213286,4.442777171757192e-06
0.55,2,37,0.07830637591860988,4.411838287356084e-06
0.55,2,38,0.07830637591860988,5.099090165334625e-06
0.55,2,39,0.07830637591860988,5.1981731604289075e-06
0.55,2,40,0.07830637591860988,5.2081642679201756e-06
0.55,2,41,0.07830637591860988,5.208972548406558e-06
0.55,2,42,0.07830501226051442,5.177263395274472e-06
0.55,2,43,0.07830501226051442,5.19847333145509e-06
0.55,2,44,0.07830501226051442,5.167564344222369e-06
0.55,2,45,0.07830501226051442,5.195787662325062e-06
0.55,2,46,0.07830501226051442,5.3266705884748134e-06
0.55,2,47,0.07830501226051442,5.883674473608557e-06
0.55,2,48,0.07830501226051442,6.417600592081868e-06
0.55,2,49,0.07830501226051442,6.497134971949992e-06
0.55,2,50,0.07830501226051442,7.166151429318268e-06
0.55,2,51,0.07830501226051442,7.559743330562446e-06
0.55,2,52,0.07826220373794732,1.0830771298608928e-05
0.55,2,53,0.07824318690444527,1.0772349979718145e-05
0.55,2,54,0.07822774607818397,1.1700153123851558e-05
0.55,2,55,0.07822774607818397,1.1849262716799266e-05
0.55,2,56,0.07822774607818397,1.1802195374801722e-05
0.55,2,57,0.07822774607818397,1.457606085368259e-05
0.55,2,58,0.07822774607818397,1.6047117250060847e-05
0.55,2,59,0.07822774607818397,1.7163908477031516e-05
0.55,2,60,0.07822774607818397,1.7352382944840212e-05
0.55,2,61,0.07822019128483307,1.8000802142430563e-05
0.55,2,62,0.07822019128483307,1.7878736076902434e-05
0.55,2,63,0.07822019128483307,1.7858154747439554e-05
0.55,2,64,0.07822019128483307,1.9501876988399214e-05
0.55,2,65,0.07822019128483307,1.973537501604282e-05
0.55,2,66,0.07821166042190168,2.8099651314010435e-05
0.55,2,67,0.07817789081822457,3.38516583413093e-05
0.55,2,68,0.07817789081822457,3.398249114430639e-05
0.55,2,69,0.07817789081822457,3.837103191145355e-05
0.55,2,70,0.07817789081822457,3.851729304865486e-05
0.55,2,71,0.07817789081822457,3.906465588890957e-05
0.55,2,72,0.07817789081822457,3.9195093987024706e-05
0.55,2,73,0.07817789081822457,3.901715889483734e-05
0.55,2,74,0.07817789081822457,4.049381272240617e-05
0.55,2,75,0.07817789081822457,4.162825603833641e-05
0.55,2,76,0.07817789081822457,4.166075480051347e-05
0.55,2,77,0.07817789081822457,4.802335887577754e-05
0.55,2,78,0.07817789081822457,4.802895529268754e-05
0.55,2,79,0.07817789081822457,4.79852380534512e-05
0.55,2,80,0.07817789081822457,5.0929448238125016e-05
0.55,2,81,0.07817789081822457,5.2409010178115755e-05
0.55,2,82,0.07817789081822457,5.273526841092982e-05
0.55,2,83,0.07817789081822457,5.3803387421672664e-05
0.55,2,84,0.07817789081822457,5.346595912721476e-05
0.55,2,85,0.07817789081822457,5.334600864060976e-05
0.55,2,86,0.07817789081822457,5.324921826088027e-05
0.55,2,87,0.07817789081822457,7.090186041846581e-05
0.55,2,88,0.07817789081822457,8.094873414579536e-05
0.55,2,89,0.07817789081822457,8.04082565482799e-05
0.55,2,90,0.07817789081822457,8.590969345216095e-05
0.55,2,91,0.07817789081822457,8.664584797789912e-05
0.55,2,92,0.07817789081822457,9.006952998559582e-05
0.55,2,93,0.07817789081822457,9.374950829164041e-05
0.55,2,94,0.07817767344388858,9.422696143515133e-05
0.55,2,95,0.07817767344388858,0.00010388642228379749
0.55,2,96,0.07817767344388858,0.00010676698172912936
0.55,2,97,0.07817767344388858,0.00010769664740261255
0.55,2,98,0.07817767344388858,0.0001256078553300976
0.55,2,99,0.07817523374616267,0.00013263065186676717
0.55,2,100,0.07816849023422982,0.00013052677426243385
