target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,1,1,0.08162637218810748,4.6308788788618954e-08
0.55,1,2,0.08162637218810748,3.32782666435568e-08
0.55,1,3,0.08162637218810748,4.3005606999252327e-08
0.55,1,4,0.08063952604633257,4.705344308386495e-08
0.55,1,5,0.08063952604633257,4.011349428791978e-08
0.55,1,6,0.07986553370995314,4.3565744797850236e-08
0.55,1,7,0.07986553370995314,5.187838470822486e-08
0.55,1,8,0.07910638309634807,4.193828749325089e-08
0.55,1,9,0.07908358648711952,3.4165538998222976e-08
0.55,1,10,0.07908358648711952,3.398483273292298e-08
0.55,1,11,0.07875955158597553,2.836981177809443e-08
0.55,1,12,0.07875955158597553,1.7861097037375335e-07
0.55,1,13,0.07875955158597553,1.7768849982637218e-07
0.55,1,14,0.07870938635894327,1.767608303530682e-07
0.55,1,15,0.07824261198114316,4.953992615477798e-07
0.55,1,16,0.07824261198114316,4.964712811387471e-07
0.55,1,17,0.07824261198114316,5.678104800022923e-07
0.55,1,18,0.07824261198114316,8.180943605074072e-07
0.55,1,19,0.07824261198114316,8.107763414559563e-07
0.55,1,20,0.07824261198114316,9.34321157569588e-07
0.55,1,21,0.07824261198114316,1.1415518927933607e-06
0.55,1,22,0.07819623306590266,1.223885925575824e-06
0.55,1,23,0.07819623306590266,1.3821319765303962e-06
0.55,1,24,0.07819623306590266,1.440534902847315e-06
0.55,1,25,0.07814326451362924,1.4635945357953566e-06
0.55,1,26,0.07814326451362924,2.0607365837518034e-06
0.55,1,27,0.07814326451362924,2.062295159147358e-06
0.55,1,28,0.07814326451362924,2.1122068269049495e-06
0.55,1,29,0.0781375000113117,2.4057175200879323e-06
0.55,1,30,0.0781375000113117,2.447166253210815e-06
0.55,1,31,0.0781375000113117,2.868657200117961e-06
0.55,1,32,0.0781375000113117,3.3126708259366185e-06
0.55,1,33,0.0781375000113117,3.344824276219279e-06
0.55,1,34,0.07811968636953995,4.454711105462165e-06
0.55,1,35,0.07811968636953995,4.6184189178207466e-06
0.55,1,36,0.07811968636953995,4.724844010452029e-06
0.55,1,37,0.07811968636953995,4.9616928331774195e-06
0.55,1,38,0.07811968636953995,6.85305876972355e-06
0.55,1,39,0.07811968636953995,6.883519390859377e-06
0.55,1,40,0.07807232726518681,6.841633207908366e-06
0.55,1,41,0.07807232726518681,6.870665402411344e-06
0.55,1,42,0.07807232726518681,7.128194149463623e-06
0.55,1,43,0.07807232726518681,7.240753118115725e-06
0.55,1,44,0.07807232726518681,7.967266509812449e-06
0.55,1,45,0.07803883056180261,8.012893366478405e-06
0.55,1,46,0.07803883056180261,1.0633797842917753e-05
0.55,1,47,0.07803883056180261,1.4456197982004231e-05
0.55,1,48,0.07803883056180261,1.554332932060174e-05
0.55,1,49,0.07803883056180261,1.6575259175931245e-05
0.55,1,50,0.07803883056180261,1.6717879645321508e-05
0.55,1,51,0.07794877008076323,1.689843881381781e-05
0.55,1,52,0.07794877008076323,1.750332702152576e-05
0.55,1,53,0.07794877008076323,1.787087695682069e-05
0.55,1,54,0.07794877008076323,2.103772597774863e-05
0.55,1,55,0.07794877008076323,2.0873437214127375e-05
0.55,1,56,0.07794877008076323,2.0724852723962507e-05
0.55,1,57,0.0779276703881335,2.0461509512733097e-05
0.55,1,58,0.0779276703881335,2.0603415327038866e-05
0.55,1,59,0.0779276703881335,2.131119458885143e-05
0.55,1,60,0.0779276703881335,2.1612494098261582e-05
0.55,1,61,0.0779276703881335,2.1619026051693772e-05
0.55,1,62,0.0779276703881335,2.175384767660546e-05
0.55,1,63,0.0779276703881335,2.2039827929294476e-05
0.55,1,64,0.07792468023321225,2.256755229566595e-05
0.55,1,65,0.07792468023321225,2.5444958543798916e-05
0.55,1,66,0.07792468023321225,2.5289757773277854e-05
0.55,1,67,0.07792468023321225,2.5820249394727445e-05
0.55,1,68,0.07792468023321225,3.163157803904309e-05
0.55,1,69,0.07792468023321225,3.161421210595812e-05
0.55,1,70,0.07792468023321225,3.610590811037287e-05
0.55,1,71,0.07786548609550231,3.789706590334122e-05
