method,target,parameter,parameter_group,variation_mode,perturbation_fraction,perturbation_percent,nominal_value,tested_value,clipped_to_bound,peak_y,delta_peak_y_m,delta_peak_y_mm,target_error_mm,max_abs_xr,delta_max_abs_xr_m,delta_max_abs_xr_mm,residual_margin_mm,constraint_violation_mm,feasible_abs,extra_reach,max_abs_xb,nominal_peak_y,nominal_max_abs_xr,nominal_residual_margin_mm,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
NN+Adam safe,0.65,Kr,controllable,percent_of_allowed_range,-0.1,-10.0,2823.03564453125,2473.03564453125,False,0.6557465819119173,0.0060234776167367166,6.0234776167367166,5.746581911917237,0.49361208939122864,0.003382835942338014,3.382835942338014,6.387910608771364,0.0,True,0.15574658191191726,0.24902066097318354,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2473.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kr,controllable,percent_of_allowed_range,-0.05,-5.0,2823.03564453125,2648.03564453125,False,0.6525454683780141,0.0028223640828335395,2.8223640828335395,2.5454683780140597,0.4917867947326022,0.0015575412837115499,1.5575412837115499,8.213205267397827,0.0,True,0.15254546837801408,0.2479038244313587,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2648.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kr,controllable,percent_of_allowed_range,0.0,0.0,2823.03564453125,2823.03564453125,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kr,controllable,percent_of_allowed_range,0.05,5.0,2823.03564453125,2998.03564453125,False,0.6472184931258658,-0.0025046111693147743,-2.5046111693147743,2.781506874134254,0.4888699431027957,-0.001359310346094933,-1.359310346094933,11.13005689720431,0.0,True,0.14721849312586577,0.24602885430290897,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2998.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kr,controllable,percent_of_allowed_range,0.1,10.0,2823.03564453125,3173.03564453125,False,0.6449836316044274,-0.004739472690753144,-4.739472690753144,5.0163683955726235,0.48766943933476065,-0.002559814114129977,-2.559814114129977,12.330560665239354,0.0,True,0.1449836316044274,0.245296732667029,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,3173.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hr,controllable,percent_of_allowed_range,-0.1,-10.0,0.1172497346997261,0.1,True,0.6507616184491178,0.0010385141539372977,1.0385141539372977,0.761618449117818,0.4906076584654689,0.00037840501657826486,0.37840501657826486,9.392341534531113,0.0,True,0.15076161844911784,0.24786099562051883,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hr,controllable,percent_of_allowed_range,-0.05,-5.0,0.1172497346997261,0.1,True,0.6507616184491178,0.0010385141539372977,1.0385141539372977,0.761618449117818,0.4906076584654689,0.00037840501657826486,0.37840501657826486,9.392341534531113,0.0,True,0.15076161844911784,0.24786099562051883,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hr,controllable,percent_of_allowed_range,0.0,0.0,0.1172497346997261,0.1172497346997261,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hr,controllable,percent_of_allowed_range,0.05,5.0,0.1172497346997261,0.1347497346997261,False,0.6486274237329879,-0.001095680562192669,-1.095680562192669,1.3725762670121489,0.489846959077933,-0.0003822943709576032,-0.3822943709576032,10.15304092206698,0.0,True,0.14862742373298787,0.24578057308214032,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1347497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hr,controllable,percent_of_allowed_range,0.1,10.0,0.1172497346997261,0.1522497346997261,False,0.6474898783244983,-0.0022332259706822066,-2.2332259706822066,2.5101216755016864,0.4894667186042265,-0.0007625348446640978,-0.7625348446640978,10.533281395773475,0.0,True,0.14748987832449834,0.24468685008787186,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1522497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f0,controllable,percent_of_allowed_range,-0.1,-10.0,0.4409545361995697,0.4059545361995697,False,0.6486746165651089,-0.0010484877300716011,-1.0484877300716011,1.325383434891081,0.4901483831334123,-8.08703154783208e-05,-0.0808703154783208,9.851616866587698,0.0,True,0.14867461656510894,0.24674230474710715,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4059545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f0,controllable,percent_of_allowed_range,-0.05,-5.0,0.4409545361995697,0.4234545361995697,False,0.6492105503864072,-0.000512553908773361,-0.512553908773361,0.7894496135928408,0.49019179234005766,-3.7461108832959056e-05,-0.037461108832959056,9.808207659942337,0.0,True,0.14921055038640718,0.246799881507949,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4234545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f0,controllable,percent_of_allowed_range,0.0,0.0,0.4409545361995697,0.4409545361995697,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f0,controllable,percent_of_allowed_range,0.05,5.0,0.4409545361995697,0.45,True,0.6499826907058752,0.0002595864106946788,0.2595864106946788,0.017309294124800978,0.49024613671023565,1.688326134502427e-05,0.01688326134502427,9.753863289764354,0.0,True,0.14998269070587522,0.24689214658866024,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.45,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f0,controllable,percent_of_allowed_range,0.1,10.0,0.4409545361995697,0.45,True,0.6499826907058752,0.0002595864106946788,0.2595864106946788,0.017309294124800978,0.49024613671023565,1.688326134502427e-05,0.01688326134502427,9.753863289764354,0.0,True,0.14998269070587522,0.24689214658866024,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.45,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f1,controllable,percent_of_allowed_range,-0.1,-10.0,1.109592318534851,1.0,True,0.6529860199612302,0.0032629156660496372,3.2629156660496372,2.9860199612301574,0.4905704823738183,0.0003412289249276612,0.3412289249276612,9.429517626181717,0.0,True,0.15298601996123018,0.24758728045970088,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.0,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f1,controllable,percent_of_allowed_range,-0.05,-5.0,1.109592318534851,1.0,True,0.6529860199612302,0.0032629156660496372,3.2629156660496372,2.9860199612301574,0.4905704823738183,0.0003412289249276612,0.3412289249276612,9.429517626181717,0.0,True,0.15298601996123018,0.24758728045970088,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.0,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f1,controllable,percent_of_allowed_range,0.0,0.0,1.109592318534851,1.109592318534851,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f1,controllable,percent_of_allowed_range,0.05,5.0,1.109592318534851,1.259592318534851,False,0.6456201075651049,-0.0041029967300756365,-4.1029967300756365,4.379892434895116,0.4898941901779539,-0.0003350632709367418,-0.3350632709367418,10.105809822046119,0.0,True,0.1456201075651049,0.2459273010292217,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.259592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,f1,controllable,percent_of_allowed_range,0.1,10.0,1.109592318534851,1.4095923185348511,False,0.6410473155078684,-0.008675788787312122,-8.675788787312122,8.952684492131603,0.48955245669501296,-0.000676796753877662,-0.676796753877662,10.44754330498704,0.0,True,0.14104731550786842,0.24455259666226387,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.4095923185348511,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,A,controllable,percent_of_allowed_range,-0.1,-10.0,0.1116335690021514,0.1086335690021514,False,0.6418542352318303,-0.00786886906335027,-7.86886906335027,8.14576476816975,0.4866465641184036,-0.003582689330486999,-3.582689330486999,13.353435881596376,0.0,True,0.14185423523183027,0.2402103477436471,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1086335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,A,controllable,percent_of_allowed_range,-0.05,-5.0,0.1116335690021514,0.1101335690021514,False,0.6457886698258851,-0.0039344344692954225,-3.9344344692954225,4.211330174114902,0.4884379088116525,-0.0017913446372381236,-1.7913446372381236,11.562091188347502,0.0,True,0.14578866982588512,0.24352714502562114,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1101335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,A,controllable,percent_of_allowed_range,0.0,0.0,0.1116335690021514,0.1116335690021514,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,A,controllable,percent_of_allowed_range,0.05,5.0,0.1116335690021514,0.11313356900215141,False,0.6536575389194608,0.003934434624280225,3.9344346242802253,3.6575389194607455,0.4920205981452045,0.001791344696313868,1.791344696313868,7.979401854795509,0.0,True,0.15365753891946077,0.2501607397581485,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.11313356900215141,0.3569131195545196,10.0
